feature;importance;importance_percentage;cumulative_importance_percentage
bearish_continuation_vs_reversal_extrem;-0.00039714266;0.15364939;98.44399
VolBlw_vol_ratio;0.00039041808;0.15104774;98.59504
count_AbvBlw_asym_ratio;-0.0003839148;0.1485317;98.74357
bearish_absorption_ratio;-0.00037680325;0.14578032;98.88935
bullish_reversal_force;-0.00035007656;0.13544013;99.02479
poc_diff_ratio_6P_11P;0.00034883298;0.134959;99.159744
bearish_bid_abs_ratio_abv;0.000336922;0.1303508;99.29009
bullish_ask_ratio;-0.00028540796;0.110420674;99.40051
overlap_ratio_VA_6P_11P;-0.00022223893;0.08598139;99.486496
diffHighPrice_0_4;-0.00020807763;0.08050256;99.567
bullish_bid_ratio;-0.00018830645;0.07285335;99.639854
extrem_zone_significance_bearish_extrem;0.00013150592;0.050877947;99.690735
overlap_ratio_VA_6P_21P;-0.00012660056;0.048980128;99.739716
bearish_ask_bid_ratio;-0.00012497479;0.04835114;99.78806
diffPriceClose_VA21PvaL;-0.00010783048;0.041718226;99.82978
diffPriceClose_VA11PPoc;9.683539e-05;0.03746437;99.86725
deltaTimestampOpeningSection30min;-8.778789e-05;0.033964008;99.901215
bearish_bid_ratio;-8.042505e-05;0.03111542;99.93233
bullish_asc_dsc_ratio;-7.030439e-05;0.027199866;99.959526
bullish_ask_score;6.652298e-05;0.025736887;99.98526
imbalance_score_high;-3.8116756e-05;0.014746883;100.00001
bullish_absorption_score;0.0;0.0;100.00001
count_abv_tot_ratio;0.0;0.0;100.00001
bullish_absorption_intensity_repeat_count;0.0;0.0;100.00001
bullish_dsc_ask_bid_imbalance;0.0;0.0;100.00001
extrem_ask_bid_imbalance_bearish_extrem;0.0;0.0;100.00001
extrem_asc_ratio_bullish_extrem;0.0;0.0;100.00001
extrem_ask_bid_imbalance_bullish;0.0;0.0;100.00001
extrem_dsc_ratio_bullish_extrem;0.0;0.0;100.00001
bullish_asc_ask_bid_imbalance;0.0;0.0;100.00001
count_blw_tot_ratio;0.0;0.0;100.00001
extrem_asc_dsc_comparison_bullish_extrem;0.0;0.0;100.00001
extrem_zone_significance_bullish_extrem;0.0;0.0;100.00001
