feature;importance;importance_percentage;cumulative_importance_percentage
absorption_intensity_repeat_bearish_vol;0.0021606565;0.36543816;90.34331
deltaTimestampOpeningSection30min;-0.0021380854;0.36162063;90.704926
bearish_asc_dsc_ratio;-0.002116468;0.35796443;91.06289
bearish_abs_diff_abv;0.0020916355;0.3537644;91.41666
count_AbvBlw_asym_ratio;0.0020878098;0.35311738;91.769775
naked_poc_dist_below;0.0020716796;0.3503892;92.12016
poc_diff_6P_16P;-0.0020634967;0.34900522;92.46917
absorption_intensity_repeat_bullish_vol;-0.0019819213;0.33520812;92.804375
poc_diff_ratio_11P_21P;-0.001975475;0.33411786;93.13849
bullish_ask_abs_ratio_blw;-0.0019393484;0.32800767;93.4665
bullish_dsc_ask_bid_imbalance;-0.001930931;0.326584;93.79308
poc_diff_ratio_6P_11P;0.0019281966;0.32612154;94.1192
bullish_reversal_force;0.0019191472;0.32459098;94.443794
poc_diff_6P_21P;-0.001898307;0.3210662;94.76486
bullish_bid_ratio;-0.0018964948;0.32075968;95.085625
diffHighPrice_0_2;0.0018428387;0.3116847;95.39731
diffPriceClose_VA6PvaL;0.0018054863;0.30536717;95.702675
poc_diff_6P_11P;-0.0017796946;0.30100495;96.00368
bullish_absorption_ratio;0.0017063869;0.2886062;96.29228
VolAbv_vol_ratio;-0.0017019588;0.28785726;96.58014
diffPriceClose_VA21PvaH;-0.0016198116;0.27396345;96.8541
diffPriceClose_VA16PPoc;0.0014765279;0.24972947;97.103836
diffPriceClosePoc_0_2;-0.001362153;0.23038492;97.33422
bullish_asc_ask_bid_imbalance;-0.0013452191;0.22752082;97.561745
diffPriceClose_VA6PPoc;0.0012686168;0.21456484;97.776306
diffPriceClosePoc_0_1;0.0012684329;0.21453376;97.99084
poc_diff_11P_21P;-0.001231652;0.2083129;98.19915
ratioDeltaAbv;-0.0011183998;0.18915822;98.388306
diffPriceCloseVWAPbyIndex;-0.0010894377;0.18425979;98.57256
diffPriceClosePoc_0_5;0.0010545444;0.17835817;98.75092
diffLowPrice_0_3;-0.0010465565;0.17700715;98.92793
bearish_reversal_force;-0.00087533233;0.14804752;99.07598
VolBlw_vol_ratio;-0.000795525;0.13454947;99.21053
bullish_bid_abs_ratio_blw;-0.0007502498;0.12689193;99.337425
count_abv_tot_ratio;0.0007360402;0.12448862;99.461914
count_blw_tot_ratio;-0.00071688584;0.12124899;99.58316
diffPriceClose_VA6PvaH;-0.0007088749;0.11989408;99.70306
bearish_bid_ratio;0.0005963363;0.100860104;99.80392
asymetrie_volume;-0.0005054992;0.08549655;99.88941
diffHighPrice_0_5;0.0004135027;0.069936916;99.95935
diffLowPrice_0_1;-0.00024031724;0.04064556;99.99999
is_in_range_5_23;0.0;0.0;99.99999
finished_auction_low;0.0;0.0;99.99999
is_in_range_10_32;0.0;0.0;99.99999
candleSizeTicks;0.0;0.0;99.99999
