Feature;Global_Mean;Selected_Mean;Difference
bearish_repeat_ticks_ratio_extrem;0.9067486049540142;0.9067807433399772;3.213838596294316e-05
diffPriceClose_VA16PPoc;1.727311444943472;1.7273431448489542;3.1699905482129864e-05
bearish_repeatAskBid_ratio;0.9113175572582697;0.9115571532753212;0.00023959601705147993
vol_volatility_score;2.4395811099775044;2.4398417841084568;0.00026067413095232084
bearish_absorption_score;1.1797773076252696;1.17992308251481;0.0001457748895403732
perct_VA11P;0.5993638649099566;0.5994320205064416;6.81555964849867e-05
bearish_absorption_intensity_repeat_count;0.5012139924322206;0.5012894877417727;7.549530955208716e-05
perctBB;0.6897237764108873;0.6898919104615386;0.00016813405065130294
bearish_dsc_ask_bid_delta_imbalance;-0.1128505321251898;-0.11281236509415665;3.8167031033153886e-05
bullish_asc_ask_bid_delta_imbalance;0.15184685563210634;0.1518135602538893;-3.329537821702977e-05
bullish_repeatAskBid_ratio;0.8728764212782884;0.8728592195211022;-1.720175718611383e-05
overlap_ratio_VA_11P_21P;0.5093214442827895;0.5093395396337903;1.8095351000835258e-05
price_volume_dynamic;0.0011272353894040338;0.0011276741549357495;4.3876553171566697e-07
perct_VA16P;0.587782471447286;0.5876854226463758;-9.70488009102155e-05
bearish_market_context_score;-0.1262346380861703;-0.12624527808027938;-1.0639994109079565e-05
naked_poc_dist_above;-2.343771234428086;-2.344628286491387;-0.0008570520633011114
bear_imbalance_low_0;0.6840271579204231;0.6840841752973084;5.701737688523778e-05
bearish_combined_pressure;-0.031158791618725014;-0.031134046317016845;2.4745301708168493e-05
bearish_extrem_abs_ratio_extrem;2.6833516981130083;2.6834655610099647;0.00011386289695636265
bearish_extrem_revIntensity_ratio_extrem;0.11189084336848318;0.1118741751188507;-1.6668249632478815e-05
