Interaction;Value;Percentage_Contribution
deltaTimestampOpeningSection5min <-> bearish_absorption_intensity_repeat_count;41.5714;0.3186
bearish_absorption_intensity_repeat_count <-> diffPriceClose_VA6PPoc;41.4293;0.3175
bearish_repeatAskBid_ratio <-> diffPriceClose_VA21PvaL;41.4192;0.3174
bear_imbalance_low_2 <-> bearish_dsc_dynamics;41.2504;0.3161
naked_poc_dist_above <-> bearish_bid_score;41.2081;0.3158
bearish_extrem_abs_ratio_extrem <-> bullish_ask_bid_ratio;40.8375;0.3129
perct_VA11P <-> bearish_asc_dsc_ratio;40.3587;0.3093
overlap_ratio_VA_11P_21P <-> diffPriceClosePoc_0_2;40.2469;0.3084
bullish_dsc_ask_bid_delta_imbalance <-> bullish_repeatAskBid_ratio;40.1804;0.3079
bearish_abs_diff_abv <-> absorption_intensity_repeat_bullish_vol;40.0829;0.3072
bullish_imnbScore_score <-> ratio_delta_vol_VA21P;40.0223;0.3067
bearish_repeat_ticks_ratio_extrem <-> price_volume_dynamic;39.9825;0.3064
vol_volatility_score <-> poc_diff_6P_21P;39.9342;0.3060
market_regimeADX <-> diffPriceCloseVWAP;39.3441;0.3015
perct_VA21P <-> diffPriceClosePoc_0_2;38.9504;0.2985
bearish_repeatAskBid_ratio <-> bull_imbalance_high_2;38.9436;0.2984
bearish_combined_pressure <-> bullish_absorption_intensity_repeat_count;38.9093;0.2982
bullish_ask_bid_ratio <-> overlap_ratio_VA_11P_21P;38.5706;0.2956
bullish_absorption_score <-> bandWidthBB;37.7381;0.2892
bearish_extrem_pressure_ratio_extrem <-> diffVolDelta_0_1Ratio;37.4783;0.2872
bearish_extrem_abs_ratio_extrem <-> perct_VA6P;37.4649;0.2871
market_regimeADX <-> bearish_extrem_abs_ratio_extrem;37.4399;0.2869
diffPriceClose_VA16PvaL <-> bearish_extrem_revIntensity_ratio_extrem;37.3680;0.2863
diffPriceClose_VA6PvaL <-> diffVolDelta_0_1Ratio;37.3135;0.2859
overlap_ratio_VA_6P_21P <-> bearish_bid_score;36.9432;0.2831
bearish_dsc_ask_bid_delta_imbalance <-> diffHighPrice_0_5;36.7252;0.2814
ratio_delta_vol_VA21P <-> bull_imbalance_high_0;36.5806;0.2803
market_regimeADX <-> bull_imbalance_high_1;36.3641;0.2787
bullish_asc_ask_bid_delta_imbalance <-> bear_imbalance_low_0;36.3448;0.2785
bullish_repeatAskBid_ratio <-> perct_VA6P;36.2469;0.2778
naked_poc_dist_below <-> poc_diff_ratio_6P_16P;36.0507;0.2763
