Feature;Global_Mean;Selected_Mean;Difference
diffLowPrice_0_4;1.2757294293212575;1.2766752577319587;0.0009458284107011217
bearish_extrem_dsc_ratio_extrem;0.10315037081605583;0.10323363885065831;8.3268034602485e-05
diffPriceClosePoc_0_4;1.3621803118406834;1.3640335051546393;0.0018531933139558365
bear_imbalance_high_3;1.0769946759867182;1.0771683009515447;0.00017362496482653533
bullish_ask_bid_ratio;0.8891814698883415;0.8893101843701126;0.00012871448177109723
bull_imbalance_high_0;0.7212860749357657;0.7205609131001496;-0.000725161835616106
bearish_absorption_score;1.0292157451800907;1.0303586420280206;0.0011428968479298973
deltaTimestampOpeningSection1min;925.2158699120054;925.0925257731959;-0.1233441388094434
price_volume_dynamic;0.0010087169683339634;0.0010080998100980526;-6.171582359107679e-07
vol_volatility_score;2.1421114772219636;2.1442625875021784;0.002151110280214752
bullish_absorption_score;0.9679857645083324;0.9682749918902336;0.00028922738190118036
deltaTimestampOpeningSection30min;918.2797303555807;918.1484536082475;-0.13127674733323147
diffPriceCloseVWAP;1.288775289456079;1.276800572164948;-0.011974717291131087
bearish_repeat_ticks_ratio_6Tick;0.9271305401001422;0.927224996212504;9.445611236180707e-05
bearish_dsc_ask_bid_delta_imbalance;-0.10248441916638712;-0.10228073908051319;0.00020368008587393072
bullish_repeatAskBid_ratio;0.8870571532862465;0.8873870095230212;0.0003298562367747282
bearish_market_context_score;-0.1032844237425863;-0.10336359254261304;-7.916880002674376e-05
perct_VA16P;0.5781243025111761;0.5789040486250743;0.0007797461138981943
bearish_repeatAskBid_ratio;0.9258867781183401;0.9266684265720817;0.0007816484537416235
bearish_extrem_abs_ratio_extrem;2.708778418858354;2.7047119297730737;-0.004066489085280178
