Feature;Global_Mean;Selected_Mean;Difference
bull_imbalance_high_0;0.7531051237230724;0.7621769681312226;0.009071844408150231
perct_VA6P;0.5297665287097016;0.525417704029335;-0.004348824680366681
bullish_imnbScore_score;0.38547240083571244;0.38454506278026046;-0.0009273380554519761
bearish_asc_dynamics;0.35009166206592124;0.35130837742206544;0.0012167153561442046
bearish_repeatAskBid_ratio;0.9113175572582697;0.9109700744826377;-0.00034748277563201313
bearish_combined_pressure;-0.031158791618725014;-0.028024701936308245;0.0031340896824167686
diffVolCandle_0_1Ratio;0.30064968451338636;0.29978904873523543;-0.0008606357781509311
vol_volatility_score;2.4395811099775044;2.345098818922059;-0.09448229105544526
bullish_dsc_ask_bid_delta_imbalance;-0.04234592216185415;-0.04332897553430385;-0.0009830533724497006
naked_poc_dist_above;-2.343771234428086;-2.3513529274550966;-0.007581693027010505
deltaTimestampOpeningSection5min;538.339228048593;539.7844205802212;1.4451925316282086
range_strength_5_23;2.9215521578586308;2.7903499708714925;-0.13120218698713826
bullish_asc_ask_bid_delta_imbalance;0.15184685563210634;0.15012432804874912;-0.0017225275833572251
bearish_market_context_score;-0.1262346380861703;-0.11793196101804583;0.008302677068124473
perct_VA21P;0.5465764757922118;0.5412182443194816;-0.005358231472730179
bullish_repeatAskBid_ratio;0.8728764212782884;0.8706498521339499;-0.002226569144338497
diffHighPrice_0_4;1.4698985083807474;1.450993748998237;-0.01890475938251046
perct_VA11P;0.5993638649099566;0.5922176167129046;-0.0071462481970520075
bearish_absorption_intensity_repeat_count;0.5012139924322206;0.501648749878942;0.00043475744672138994
bearish_dsc_ask_bid_delta_imbalance;-0.1128505321251898;-0.11217446197116357;0.000676070154026237
