Interaction;Value;Percentage_Contribution
diffHighPrice_0_4 <-> perctBB;143.3260;0.8099
bearish_absorption_intensity_repeat_count <-> bullish_combined_pressure;126.5703;0.7152
imbalance_score_low <-> bearish_dsc_ask_bid_delta_imbalance;105.6966;0.5973
bull_imbalance_high_0 <-> perct_VA6P;86.1188;0.4867
VolPocVolCandleRatio <-> bearish_absorption_intensity_repeat_count;84.5592;0.4778
bearish_repeatAskBid_ratio <-> perct_VA21P;84.1979;0.4758
bearish_bid_score <-> bearish_imnbScore_score;82.8661;0.4683
bullish_dsc_ask_bid_delta_imbalance <-> bullish_repeatAskBid_ratio;81.0984;0.4583
bearish_combined_pressure <-> bullish_repeatAskBid_ratio;78.9747;0.4463
diffHighPrice_0_3 <-> diffHighPrice_0_4;78.8598;0.4456
perct_VA6P <-> bearish_repeatAskBid_ratio;76.8768;0.4344
diffPriceClose_VA11PvaL <-> VolPocVolCandleRatio;75.7131;0.4278
deltaTimestampOpeningSection5min <-> bearish_combined_pressure;75.5791;0.4271
perct_VA21P <-> bearish_asc_dynamics;74.3425;0.4201
diffHighPrice_0_4 <-> naked_poc_dist_above;72.6187;0.4104
bullish_ask_ratio <-> ratio_delta_vol_VA11P;72.3206;0.4087
bearish_absorption_intensity_repeat_count <-> VolCandleMeanxRatio;71.5299;0.4042
VolPocVolCandleRatio <-> bullish_imnbScore_score;69.6025;0.3933
perct_VA6P <-> bearish_dsc_ask_bid_delta_imbalance;69.5744;0.3932
bullish_imnbScore_score <-> bullish_asc_dsc_ratio;69.0663;0.3903
diffHighPrice_0_4 <-> bearish_dsc_ask_bid_delta_imbalance;68.7928;0.3887
overlap_ratio_VA_11P_21P <-> bearish_asc_dynamics;67.2678;0.3801
bullish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_0;67.0471;0.3789
bearish_bid_score <-> bear_imbalance_high_2;64.3960;0.3639
diffPriceCloseVWAP <-> diffHighPrice_0_4;63.9232;0.3612
bull_imbalance_high_0 <-> bear_imbalance_high_1;63.5504;0.3591
bear_imbalance_high_3 <-> bullish_asc_ask_bid_delta_imbalance;62.9953;0.3560
bearish_dsc_ask_bid_imbalance <-> naked_poc_dist_above;62.5572;0.3535
bullish_dsc_ask_bid_delta_imbalance <-> VolCandleMeanxRatio;61.7957;0.3492
perctBB <-> market_regimeADX;61.7862;0.3491
bearish_dsc_ask_bid_delta_imbalance <-> bandWidthBB;61.4794;0.3474
bearish_bid_score <-> bull_imbalance_low_3;61.3674;0.3468
pocDeltaPocVolRatio <-> bull_imbalance_high_0;61.1777;0.3457
bear_imbalance_high_2 <-> bearish_imnbScore_score;61.0460;0.3450
bearish_absorption_intensity_repeat_count <-> overlap_ratio_VA_6P_16P;60.9126;0.3442
pocDeltaPocVolRatio <-> diffPriceCloseVWAP;60.4971;0.3419
market_regimeADX <-> perct_VA11P;59.6606;0.3371
bullish_dsc_dynamics <-> price_volume_dynamic;58.9231;0.3330
perct_VA21P <-> overlap_ratio_VA_6P_16P;58.6071;0.3312
bearish_market_context_score <-> bearish_repeatAskBid_ratio;58.5662;0.3310
VolPocVolCandleRatio <-> VolCandleMeanxRatio;58.5291;0.3307
bullish_dsc_ask_bid_delta_imbalance <-> ratio_delta_vol_VA21P;58.4685;0.3304
bandWidthBB <-> VolCandleMeanxRatio;58.0211;0.3279
bear_imbalance_high_2 <-> bearish_absorption_intensity_repeat_count;58.0086;0.3278
perct_VA6P <-> deltaTimestampOpeningSection5min;57.9081;0.3272
bearish_bid_score <-> poc_diff_ratio_6P_16P;57.8098;0.3267
diffPriceClose_VA16PvaH <-> bearish_dsc_ask_bid_delta_imbalance;57.6155;0.3256
bullish_asc_dsc_ratio <-> deltaTimestampOpeningSection5min;57.6078;0.3255
bullish_ask_ratio <-> perct_VA11P;57.5927;0.3255
bearish_market_context_score <-> bull_imbalance_high_0;57.5378;0.3251
bearish_asc_ask_bid_delta_imbalance <-> bullish_asc_ask_bid_delta_imbalance;57.4557;0.3247
imbalance_score_low <-> overlap_ratio_VA_6P_16P;57.4178;0.3245
bearish_absorption_intensity_repeat_count <-> bandWidthBB;57.3859;0.3243
deltaTimestampOpeningSection5min <-> overlap_ratio_VA_6P_11P;57.0961;0.3226
naked_poc_dist_above <-> pocDeltaPocVolRatio;56.8750;0.3214
diffHighPrice_0_3 <-> perctBB;56.5290;0.3194
diffPriceClose_VA11PvaH <-> bearish_market_context_score;56.2271;0.3177
ratio_delta_vol_VA6P <-> cumDiffVolDeltaRatio;56.0342;0.3166
perctBB <-> bullish_imnbScore_score;55.9011;0.3159
bearish_asc_ask_bid_delta_imbalance <-> bandWidthBB;55.7662;0.3151
perct_VA21P <-> bullish_dsc_ask_bid_delta_imbalance;55.7468;0.3150
overlap_ratio_VA_6P_16P <-> deltaTimestampOpeningSection5min;55.4017;0.3131
price_volume_dynamic <-> bullish_absorption_score;55.2660;0.3123
bullish_ask_ratio <-> bearish_dsc_ask_bid_delta_imbalance;54.7183;0.3092
diffVolCandle_0_1Ratio <-> bullish_ask_ratio;54.6301;0.3087
bullish_absorption_score <-> diffVolDelta_0_1Ratio;54.1016;0.3057
bearish_bid_score <-> naked_poc_dist_above;54.0936;0.3057
naked_poc_dist_above <-> bullish_imbalance_evolution;54.0897;0.3057
diffVolCandle_0_1Ratio <-> bearish_absorption_intensity_repeat_count;53.9533;0.3049
bearish_asc_ask_bid_delta_imbalance <-> bearish_ask_score;53.6794;0.3033
bearish_imbalance_evolution <-> bearish_absorption_ratio;53.4498;0.3020
market_regimeADX <-> bear_imbalance_high_3;53.2505;0.3009
bearish_repeatAskBid_ratio <-> bear_imbalance_high_2;53.2253;0.3008
bullish_absorption_score <-> VolCandleMeanxRatio;53.0420;0.2997
diffPriceClosePoc_0_4 <-> bearish_dsc_ask_bid_delta_imbalance;52.8320;0.2985
bullish_asc_ask_bid_delta_imbalance <-> cumDiffVolDeltaRatio;52.6546;0.2975
bearish_market_context_score <-> bandWidthBB;52.5545;0.2970
diffHighPrice_0_4 <-> bear_imbalance_high_3;52.5098;0.2967
bearish_ask_abs_ratio_abv <-> bearish_market_context_score;52.4184;0.2962
bullish_repeatAskBid_ratio <-> diffPriceClose_VA11PvaL;52.2523;0.2953
poc_diff_ratio_6P_16P <-> VolCandleMeanxRatio;52.2030;0.2950
bullish_ask_ratio <-> ratio_delta_vol_VA21P;51.8870;0.2932
bear_imbalance_high_2 <-> bearish_dsc_ask_bid_delta_imbalance;51.8595;0.2931
finished_auction_high <-> bearish_combined_pressure;51.8226;0.2928
bearish_asc_ask_bid_delta_imbalance <-> bearish_absorption_intensity_repeat_count;51.8031;0.2927
bullish_absorption_score <-> ratio_delta_vol_VA6P;51.7888;0.2927
finished_auction_high <-> diffPriceClose_VA11PvaH;51.6475;0.2919
diffPriceCloseVWAP <-> bearish_repeatAskBid_ratio;51.5463;0.2913
finished_auction_high <-> bullish_ask_ratio;51.4298;0.2906
deltaTimestampOpeningSection5min <-> finished_auction_high;51.3485;0.2902
market_regimeADX <-> overlap_ratio_VA_11P_21P;50.1536;0.2834
perctBB <-> deltaTimestampOpeningSection5min;50.1517;0.2834
perct_VA11P <-> imbalance_score_low;50.0135;0.2826
price_volume_dynamic <-> diffVolCandle_0_1Ratio;49.8105;0.2815
bullish_asc_ask_bid_delta_imbalance <-> bear_imbalance_low_1;49.6662;0.2807
diffPriceClose_VA11PvaL <-> bearish_dsc_ask_bid_delta_imbalance;49.5948;0.2803
bearish_dsc_ask_bid_imbalance <-> pocDeltaPocVolRatio;49.4524;0.2795
ratio_delta_vol_VA21P <-> bear_imbalance_high_3;49.3790;0.2790
bull_imbalance_low_3 <-> bandWidthBB;48.9634;0.2767
bearish_imbalance_evolution <-> perct_VA6P;48.7494;0.2755
price_volume_dynamic <-> bullish_asc_ask_bid_delta_imbalance;48.5921;0.2746
bullish_imbalance_evolution <-> diffHighPrice_0_4;48.5569;0.2744
diffVolDelta_0_1Ratio <-> bullish_dsc_ask_bid_delta_imbalance;48.0561;0.2716
ratio_delta_vol_VA11P <-> diffHighPrice_0_4;47.9974;0.2712
bearish_dsc_ask_bid_imbalance <-> bullish_repeatAskBid_ratio;47.7832;0.2700
naked_poc_dist_above <-> range_strength_5_23;47.3152;0.2674
bandWidthBB <-> diffPriceClose_VA21PvaL;47.3055;0.2673
diffPriceClose_VA21PvaL <-> diffHighPrice_0_3;47.1439;0.2664
overlap_ratio_VA_6P_21P <-> bearish_repeatAskBid_ratio;46.9199;0.2651
diffPriceCloseVWAP <-> bear_imbalance_high_2;46.7495;0.2642
bearish_ask_score <-> perct_VA6P;46.7392;0.2641
bear_imbalance_high_1 <-> bearish_dsc_ask_bid_imbalance;46.5659;0.2631
perct_VA11P <-> deltaTimestampOpeningSection5min;46.4856;0.2627
perctBB <-> bandWidthBB;46.4087;0.2623
diffPriceClosePoc_0_4 <-> bullish_asc_dsc_ratio;46.3896;0.2621
imbalance_score_low <-> deltaTimestampOpeningSection5min;46.2565;0.2614
diffVolDelta_0_1Ratio <-> range_strength_5_23;45.4647;0.2569
bear_imbalance_high_2 <-> bearish_ask_score;45.4253;0.2567
bearish_absorption_ratio <-> perct_VA11P;45.0378;0.2545
perct_VA21P <-> bearish_bid_score;44.8943;0.2537
bearish_absorption_intensity_repeat_count <-> bearish_ask_bid_ratio;44.4425;0.2511
diffHighPrice_0_4 <-> bullish_imnbScore_score;44.2831;0.2502
bearish_repeatAskBid_ratio <-> bearish_imnbScore_score;44.1725;0.2496
ratio_delta_vol_VA16P <-> bearish_dsc_ask_bid_delta_imbalance;44.1515;0.2495
bearish_market_context_score <-> bullish_ask_score;44.0722;0.2490
diffPriceClosePoc_0_4 <-> bullish_dsc_ask_bid_delta_imbalance;43.7195;0.2471
bearish_bid_abs_ratio_abv <-> VolPocVolCandleRatio;43.6578;0.2467
bearish_bid_abs_ratio_abv <-> bull_imbalance_low_2;43.5028;0.2458
bull_imbalance_low_3 <-> bearish_market_context_score;43.2877;0.2446
diffPriceCloseVWAP <-> perct_VA6P;43.2819;0.2446
VolPocVolCandleRatio <-> bear_imbalance_high_2;43.0136;0.2431
diffPriceClosePoc_0_4 <-> ratio_delta_vol_VA16P;42.8955;0.2424
