feature;importance;importance_percentage;cumulative_importance_percentage
bearish_repeatAskBid_ratio;-0.015766261;21.892591;21.892591
diffPriceCloseVWAP;0.010627611;14.757206;36.649796
bearish_dsc_ask_bid_delta_imbalance;-0.0056399987;7.831546;44.481342
deltaTimestampOpeningSection1min;-0.0050898367;7.067606;51.54895
bearish_ask_score;-0.0039366446;5.4663157;57.015266
bull_imbalance_high_0;-0.0035280255;4.8989186;61.914185
perctBB;-0.003125917;4.3405614;66.254745
diffPriceClosePoc_0_3;0.002882482;4.0025344;70.25728
diffPriceClosePoc_0_2;0.0028237288;3.9209514;74.17823
diffHighPrice_0_1;-0.002130008;2.9576702;77.1359
diffHighPrice_0_3;0.0020257628;2.8129182;79.94882
diffPriceClosePoc_0_1;0.0019717184;2.7378733;82.6867
diffHighPrice_0_2;-0.0017733903;2.4624805;85.14918
bear_imbalance_high_2;-0.0015656997;2.1740873;87.323265
bear_imbalance_high_3;0.0014282771;1.983266;89.30653
pocDeltaPocVolRatio;0.0012599996;1.7496004;91.05614
diffVolDelta_0_1Ratio;-0.0011634394;1.6155196;92.67165
bull_imbalance_high_2;0.0008717264;1.2104552;93.88211
diffVolCandle_0_1Ratio;-0.0008276592;1.1492646;95.03137
bull_imbalance_high_1;0.0006632975;0.9210365;95.95241
ratioDeltaAbv;0.0006387389;0.8869352;96.83934
bullish_ask_score;0.000596016;0.8276113;97.666954
asymetrie_volume;0.000488571;0.67841613;98.34537
bear_imbalance_high_1;0.00045524372;0.6321388;98.97751
finished_auction_high;-0.00038667244;0.53692263;99.514435
candleSizeTicks;-0.00034969405;0.48557544;100.00001
