Feature;Global_Mean;Selected_Mean;Difference
bearish_absorption_score;1.011947730353988;1.0199247677383207;0.007977037384332641
bearish_activity_volume_score;8.151065496991329;8.221302330654405;0.07023683366307587
diffPriceClosePoc_0_3;1.78925464279739;1.8093988348202978;0.020144192022907736
diffPriceClosePoc_0_2;0.9356352127600246;0.9493329768371281;0.013697764077103547
bullish_market_momentum;0.10889466593420365;0.10884967137131156;-4.49945628920867e-05
bearish_extreme_volume_score;0.6678570826193366;0.6730983932179696;0.0052413105986329755
deltaTimestampOpeningSection1min;967.96595281914;967.3832709464974;-0.5826818726426382
bullish_repeatAskBid_ratio;0.8854655420595596;0.8869881308955918;0.0015225888360321793
diffHighPrice_0_2;0.8939685460933579;0.9062719878416031;0.01230344174824527
bearish_market_momentum;0.1231017505999297;0.12394575073066852;0.0008440001307388201
diffPriceClose_VA16PvaH;0.06982494591025316;0.08019229132987322;0.010367345419620061
diffPriceClose_VA21PvaH;-0.049274545710663475;-0.03794147756355571;0.011333068147107765
bullish_absorption_score;0.9598349175314661;0.9633714793786096;0.00353656184714346
bearish_dsc_ask_bid_delta_imbalance;-0.10392025714020628;-0.10296104711253858;0.0009592100276677035
diffLowPrice_0_1;0.6618077630918521;0.6683107708761363;0.006503007784284254
diffPriceCloseVWAP;1.5054341308348667;1.4986591736793224;-0.0067749571555442145
bearish_extrem_abs_ratio_extrem;2.711433888414824;2.7080924004842974;-0.0033414879305264655
bearish_repeatAskBid_ratio;0.9225814035080262;0.9260297278664219;0.0034483243583957046
bearish_market_context_score;-0.1020281459060951;-0.10285357995968807;-0.0008254340535929633
bearish_volume_quality;103.8201409693877;104.64204117278267;0.8219002033949749
