Interaction;Value;Percentage_Contribution
deltaTimestampOpeningSection5min <-> VolCandleMeanxRatio;149.5735;0.7578
bearish_market_context_score <-> bearish_repeatAskBid_ratio;129.3511;0.6554
bearish_repeatAskBid_ratio <-> bearish_extrem_abs_ratio_extrem;128.6166;0.6517
VolCandleMeanxRatio <-> bearish_market_context_score;120.5002;0.6105
vol_volatility_score <-> bearish_repeatAskBid_ratio;120.0253;0.6081
bearish_extreme_volume_score <-> bearish_repeatAskBid_ratio;118.2576;0.5992
diffPriceCloseVWAP <-> bullish_repeatAskBid_ratio;115.5312;0.5854
bearish_extrem_abs_ratio_extrem <-> bullish_repeatAskBid_ratio;107.7926;0.5461
bearish_combined_pressure <-> bearish_repeatAskBid_ratio;106.0521;0.5373
bearish_repeatAskBid_ratio <-> bullish_repeatAskBid_ratio;103.4932;0.5244
bearish_extrem_abs_ratio_extrem <-> bearish_extreme_volume_score;102.0800;0.5172
deltaTimestampOpeningSection5min <-> diffPriceClosePoc_0_3;101.0732;0.5121
pocDeltaPocVolRatio <-> bearish_repeatAskBid_ratio;97.7155;0.4951
bearish_market_context_score <-> bearish_extrem_abs_ratio_extrem;95.3125;0.4829
bearish_extreme_volume_score <-> pocDeltaPocVolRatio;94.5417;0.4790
bearish_market_context_score <-> bullish_asc_dynamics;93.2149;0.4723
bearish_extrem_abs_ratio_extrem <-> vol_volatility_score;92.2446;0.4674
diffPriceCloseVWAP <-> bearish_market_context_score;91.7687;0.4650
bullish_repeatAskBid_ratio <-> VolCandleMeanxRatio;87.6715;0.4442
deltaTimestampOpeningSection5min <-> absorption_intensity_repeat_bearish_vol;87.5527;0.4436
cumDiffVolDeltaRatio <-> bearish_repeatAskBid_ratio;86.5666;0.4386
vol_volatility_score <-> pocDeltaPocVolRatio;85.0715;0.4310
bearish_repeat_ticks_ratio_extrem <-> bearish_combined_pressure;84.6806;0.4290
extrem_ask_bid_imbalance_bearish_extrem <-> diffPriceClose_VA16PvaH;84.0357;0.4258
deltaTimestampOpeningSection5min <-> bearish_market_context_score;83.0570;0.4208
bearish_repeatAskBid_ratio <-> VolCandleMeanxRatio;81.7166;0.4140
bearish_extrem_abs_ratio_extrem <-> extrem_ask_bid_imbalance_bearish_extrem;81.2230;0.4115
bearish_extreme_volume_score <-> bearish_market_context_score;81.1470;0.4111
bearish_repeat_ticks_ratio_extrem <-> bearish_repeatAskBid_ratio;81.0539;0.4107
deltaTimestampOpeningSection5min <-> diffPriceCloseVWAP;80.4794;0.4078
bearish_dsc_ask_bid_delta_imbalance <-> bearish_extreme_volume_score;80.3827;0.4073
bearish_extreme_volume_score <-> VolCandleMeanxRatio;79.6782;0.4037
diffLowPrice_0_1 <-> diffVolDelta_0_1Ratio;79.4993;0.4028
diffPriceClose_VA16PvaH <-> bearish_repeatAskBid_ratio;79.2575;0.4016
diffPriceClose_VA16PvaH <-> deltaTimestampOpeningSection5min;76.9649;0.3900
