Interaction;Value;Percentage_Contribution
bearish_extreme_volume_score <-> vol_volatility_score;75.9780;0.3850
bearish_repeatAskBid_ratio <-> bullish_absorption_intensity_repeat_count;75.3177;0.3816
diffPriceCloseVWAP <-> vol_volatility_score;74.9004;0.3795
bearish_dsc_ask_bid_delta_imbalance <-> vol_volatility_score;74.5894;0.3779
extrem_ask_bid_imbalance_bearish_extrem <-> bearish_repeatAskBid_ratio;74.4810;0.3774
diffPriceClose_VA16PvaH <-> bearish_market_context_score;73.5535;0.3727
bearish_market_context_score <-> bullish_absorption_intensity_repeat_count;72.2367;0.3660
bearish_dsc_ask_bid_delta_imbalance <-> ratio_delta_vol_VA11P;71.3851;0.3617
diffPriceCloseVWAP <-> bearish_repeatAskBid_ratio;71.2405;0.3610
bearish_dsc_ask_bid_delta_imbalance <-> pocDeltaPocVolRatio;70.1934;0.3556
bearish_bid_abs_ratio_abv <-> atr;69.7607;0.3535
deltaTimestampOpeningSection5min <-> vol_volatility_score;69.7412;0.3534
diffVolDelta_0_1Ratio <-> bullish_repeatAskBid_ratio;68.9812;0.3495
bearish_extrem_abs_ratio_extrem <-> pocDeltaPocVolRatio;68.9812;0.3495
bearish_market_context_score <-> bearish_repeat_ticks_ratio_extrem;68.1188;0.3451
bearish_extreme_volume_score <-> bullish_absorption_intensity_repeat_count;67.6591;0.3428
diffPriceClose_VA16PvaH <-> diffPriceClosePoc_0_2;67.4136;0.3416
cumDiffVolDeltaRatio <-> bullish_repeatAskBid_ratio;67.1740;0.3403
bullish_repeatAskBid_ratio <-> vol_volatility_score;66.6271;0.3376
bearish_repeatAskBid_ratio <-> bull_imbalance_high_2;66.4558;0.3367
bullish_absorption_intensity_repeat_count <-> diffPriceCloseVWAP;66.1417;0.3351
cumDiffVolDeltaRatio <-> bullish_asc_dynamics;65.6171;0.3325
bullish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;64.3720;0.3262
diffPriceCloseVWAP <-> VolCandleMeanxRatio;63.9946;0.3242
bearish_combined_pressure <-> extrem_ask_bid_imbalance_bearish_extrem;63.9454;0.3240
bull_imbalance_high_2 <-> bearish_repeat_ticks_ratio_extrem;63.8768;0.3236
extrem_ask_bid_imbalance_bearish_extrem <-> VolCandleMeanxRatio;63.3966;0.3212
bearish_dsc_ask_bid_imbalance <-> bearish_repeatAskBid_ratio;63.1652;0.3200
poc_diff_ratio_6P_21P <-> bearish_repeat_ticks_ratio_extrem;62.7321;0.3178
bearish_repeatAskBid_ratio <-> atr;62.2110;0.3152
bearish_absorption_ratio <-> vol_volatility_score;62.1909;0.3151
diffPriceCloseVWAP <-> cumDiffVolDeltaRatio;62.0609;0.3144
bearish_market_context_score <-> extrem_ask_bid_imbalance_bearish_extrem;62.0028;0.3141
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_2;61.7346;0.3128
deltaTimestampOpeningSection5min <-> atr;61.4358;0.3113
bearish_extreme_volume_score <-> diffPriceClosePoc_0_1;61.1846;0.3100
vol_volatility_score <-> bearish_combined_pressure;60.9020;0.3086
ratio_delta_vol_VA11P <-> diffPriceCloseVWAP;60.7892;0.3080
VolCandleMeanxRatio <-> pocDeltaPocVolRatio;59.7715;0.3028
VolCandleMeanxRatio <-> bearish_combined_pressure;59.6675;0.3023
bearish_dsc_ask_bid_delta_imbalance <-> bearish_extrem_abs_ratio_extrem;59.5671;0.3018
bearish_absorption_ratio <-> bearish_repeatAskBid_ratio;59.2234;0.3001
bearish_extrem_abs_ratio_extrem <-> atr;59.1136;0.2995
bearish_repeat_ticks_ratio_extrem <-> bearish_dsc_ask_bid_delta_imbalance;58.7872;0.2979
bearish_ask_score <-> bearish_market_context_score;58.7525;0.2977
diffPriceClose_VA16PvaH <-> bearish_imnbScore_score;58.6315;0.2971
cumDiffVolDeltaRatio <-> diffPriceClose_VA16PvaH;58.5491;0.2966
poc_diff_ratio_6P_21P <-> vol_volatility_score;58.3010;0.2954
VolCandleMeanxRatio <-> bullish_absorption_intensity_repeat_count;58.1980;0.2949
bullish_repeatAskBid_ratio <-> bullish_asc_dynamics;58.1881;0.2948
bull_imbalance_high_2 <-> bearish_ask_score;57.6677;0.2922
bearish_absorption_ratio <-> VolCandleMeanxRatio;56.8397;0.2880
bearish_repeat_ticks_ratio_extrem <-> bearish_extreme_volume_score;56.6949;0.2873
bearish_repeat_ticks_ratio_extrem <-> deltaTimestampOpeningSection5min;56.6119;0.2868
pocDeltaPocVolRatio <-> bullish_repeatAskBid_ratio;56.4474;0.2860
pocDeltaPocVolRatio <-> bearish_market_context_score;56.3916;0.2857
bearish_ask_score <-> diffPriceClose_VA16PvaH;56.3758;0.2856
deltaTimestampOpeningSection5min <-> bearish_dsc_ask_bid_delta_imbalance;56.0381;0.2839
diffPriceCloseVWAP <-> bullish_asc_dynamics;55.7404;0.2824
bull_imbalance_high_2 <-> bullish_absorption_intensity_repeat_count;54.8500;0.2779
cumDiffVolDeltaRatio <-> VolCandleMeanxRatio;54.8483;0.2779
bearish_asc_dynamics <-> VolCandleMeanxRatio;54.7507;0.2774
bearish_extrem_abs_ratio_extrem <-> bearish_absorption_ratio;54.6787;0.2770
bearish_dsc_ask_bid_imbalance <-> bearish_extrem_dsc_ratio_extrem;54.6013;0.2766
absorption_intensity_repeat_bearish_vol <-> bearish_repeat_ticks_ratio_extrem;54.0781;0.2740
bearish_extreme_volume_score <-> diffPriceCloseVWAP;53.9938;0.2736
bearish_dsc_ask_bid_delta_imbalance <-> price_volume_dynamic;53.7999;0.2726
bearish_extrem_abs_ratio_extrem <-> deltaTimestampOpeningSection5min;53.5812;0.2715
bearish_repeatAskBid_ratio <-> bullish_asc_dynamics;53.1244;0.2692
bearish_imnbScore_score <-> VolCandleMeanxRatio;53.0147;0.2686
VolCandleMeanxRatio <-> bearish_ask_score;52.8876;0.2680
bearish_imnbScore_score <-> vol_volatility_score;52.6637;0.2668
bearish_dsc_ask_bid_delta_imbalance <-> VolCandleMeanxRatio;52.3342;0.2652
bearish_imnbScore_score <-> bearish_repeat_ticks_ratio_extrem;52.2424;0.2647
diffVolDelta_0_1Ratio <-> bearish_extreme_volume_score;52.2349;0.2647
vol_volatility_score <-> bearish_repeat_ticks_ratio_extrem;52.0355;0.2636
diffPriceClosePoc_0_3 <-> diffPriceClose_VA16PvaH;51.7565;0.2622
poc_diff_ratio_6P_21P <-> bearish_extreme_volume_score;51.5907;0.2614
atr <-> bullish_absorption_intensity_repeat_count;51.4442;0.2607
diffPriceClose_VA16PvaH <-> bull_imbalance_high_2;51.3357;0.2601
diffPriceClose_VA16PvaH <-> VolCandleMeanxRatio;51.0015;0.2584
pocDeltaPocVolRatio <-> diffPriceCloseVWAP;50.6083;0.2564
absorption_intensity_repeat_bearish_vol <-> bullish_repeatAskBid_ratio;50.4945;0.2558
bearish_extrem_abs_ratio_extrem <-> bearish_ask_score;50.1230;0.2540
vol_volatility_score <-> bearish_market_context_score;49.9622;0.2531
bearish_market_context_score <-> bullish_repeatAskBid_ratio;49.7501;0.2521
bullish_repeatAskBid_ratio <-> poc_diff_ratio_6P_21P;49.6280;0.2514
bearish_ask_score <-> extrem_ask_bid_imbalance_bearish_extrem;49.5317;0.2510
pocDeltaPocVolRatio <-> bearish_dsc_ask_bid_imbalance;49.4240;0.2504
bearish_repeat_ticks_ratio_extrem <-> VolCandleMeanxRatio;49.3935;0.2503
bearish_dsc_ask_bid_imbalance <-> diffVolDelta_0_1Ratio;48.7703;0.2471
bullish_asc_dynamics <-> bearish_dsc_ask_bid_imbalance;48.6450;0.2465
diffVolDelta_0_1Ratio <-> bearish_repeat_ticks_ratio_extrem;48.6103;0.2463
atr <-> bearish_repeat_ticks_ratio_extrem;48.0260;0.2433
extrem_ask_bid_imbalance_bearish_extrem <-> bullish_repeatAskBid_ratio;47.9565;0.2430
bearish_repeatAskBid_ratio <-> bearish_asc_dynamics;47.9527;0.2430
diffLowPrice_0_1 <-> bullish_repeatAskBid_ratio;47.6742;0.2415
bearish_extrem_abs_ratio_extrem <-> diffPriceCloseVWAP;47.6002;0.2412
bearish_extreme_volume_score <-> bullish_repeatAskBid_ratio;47.5532;0.2409
bearish_extreme_volume_score <-> bearish_dsc_ask_bid_imbalance;47.5104;0.2407
bearish_bid_abs_ratio_abv <-> bearish_market_context_score;47.4777;0.2406
bearish_repeat_ticks_ratio_extrem <-> extrem_ask_bid_imbalance_bearish_extrem;47.4459;0.2404
bearish_imnbScore_score <-> bearish_extreme_volume_score;46.9501;0.2379
VolCandleMeanxRatio <-> diffLowPrice_0_1;46.8163;0.2372
bearish_extrem_abs_ratio_extrem <-> cumDiffVolDeltaRatio;46.7238;0.2367
bull_imbalance_high_2 <-> atr;46.6736;0.2365
bearish_bid_abs_ratio_abv <-> deltaTimestampOpeningSection5min;46.3751;0.2350
ratio_delta_vol_VA11P <-> bearish_market_context_score;46.3200;0.2347
bearish_extrem_abs_ratio_extrem <-> diffPriceClose_VA16PvaH;46.2416;0.2343
bearish_imnbScore_score <-> diffPriceCloseVWAP;46.1256;0.2337
bearish_repeatAskBid_ratio <-> deltaTimestampOpeningSection5min;45.7457;0.2318
deltaTimestampOpeningSection5min <-> bullish_absorption_intensity_repeat_count;45.7096;0.2316
bearish_extrem_abs_ratio_extrem <-> bearish_repeat_ticks_ratio_extrem;45.2399;0.2292
VolCandleMeanxRatio <-> diffVolDelta_0_1Ratio;45.1980;0.2290
bearish_extrem_abs_ratio_extrem <-> VolCandleMeanxRatio;45.0418;0.2282
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA16PvaH;45.0230;0.2281
bearish_asc_dynamics <-> extrem_ask_bid_imbalance_bearish_extrem;44.9547;0.2278
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_3;44.2020;0.2240
bullish_repeatAskBid_ratio <-> bearish_ask_score;44.0539;0.2232
VolCandleMeanxRatio <-> bearish_bid_abs_ratio_abv;44.0117;0.2230
price_volume_dynamic <-> bullish_repeatAskBid_ratio;43.9226;0.2225
bull_imbalance_high_2 <-> vol_volatility_score;43.9013;0.2224
diffPriceClosePoc_0_2 <-> diffLowPrice_0_1;43.7648;0.2217
bearish_extreme_volume_score <-> bearish_bid_abs_ratio_abv;43.7253;0.2215
VolCandleMeanxRatio <-> vol_volatility_score;43.3719;0.2198
bearish_market_context_score <-> cumDiffVolDeltaRatio;43.2682;0.2192
bearish_dsc_ask_bid_imbalance <-> deltaTimestampOpeningSection5min;43.2542;0.2192
bearish_extrem_abs_ratio_extrem <-> ratio_delta_vol_VA11P;43.1313;0.2185
bearish_combined_pressure <-> price_volume_dynamic;43.1177;0.2185
bearish_market_context_score <-> diffPriceClosePoc_0_2;42.9123;0.2174
atr <-> bearish_dsc_ask_bid_delta_imbalance;42.8636;0.2172
bull_imbalance_high_2 <-> bearish_extrem_abs_ratio_extrem;42.8348;0.2170
bearish_extrem_dsc_ratio_extrem <-> bearish_market_context_score;42.8189;0.2169
pocDeltaPocVolRatio <-> deltaTimestampOpeningSection5min;42.6765;0.2162
market_regimeADX <-> bearish_repeatAskBid_ratio;42.6295;0.2160
market_regimeADX <-> atr;42.4531;0.2151
price_volume_dynamic <-> deltaTimestampOpeningSection5min;42.3800;0.2147
bearish_dsc_ask_bid_delta_imbalance <-> bearish_market_context_score;42.0333;0.2130
bearish_absorption_ratio <-> bullish_repeatAskBid_ratio;41.8678;0.2121
bearish_combined_pressure <-> bullish_asc_dynamics;41.6789;0.2112
poc_diff_ratio_6P_21P <-> bearish_bid_abs_ratio_abv;41.4746;0.2101
diffVolDelta_0_1Ratio <-> diffPriceCloseVWAP;41.0844;0.2082
vol_volatility_score <-> market_regimeADX;40.9988;0.2077
bearish_extrem_abs_ratio_extrem <-> poc_diff_ratio_6P_21P;40.9859;0.2077
diffPriceClosePoc_0_2 <-> diffPriceCloseVWAP;40.7831;0.2066
bull_imbalance_high_2 <-> VolCandleMeanxRatio;40.4810;0.2051
ratio_delta_vol_VA11P <-> bullish_repeatAskBid_ratio;40.2348;0.2039
vol_volatility_score <-> bearish_dsc_ask_bid_imbalance;40.1207;0.2033
bearish_repeat_ticks_ratio_extrem <-> diffLowPrice_0_1;40.1063;0.2032
diffVolDelta_0_1Ratio <-> bearish_dsc_ask_bid_delta_imbalance;40.0760;0.2031
absorption_intensity_repeat_bearish_vol <-> poc_diff_ratio_6P_21P;40.0758;0.2031
bearish_asc_dynamics <-> vol_volatility_score;39.9483;0.2024
VolCandleMeanxRatio <-> atr;39.8187;0.2017
market_regimeADX <-> bearish_market_context_score;39.7474;0.2014
pocDeltaPocVolRatio <-> atr;39.7091;0.2012
bearish_repeat_ticks_ratio_extrem <-> bearish_bid_abs_ratio_abv;39.6834;0.2011
bearish_bid_abs_ratio_abv <-> bullish_absorption_intensity_repeat_count;39.4966;0.2001
vol_volatility_score <-> diffLowPrice_0_1;39.3685;0.1995
bearish_absorption_ratio <-> deltaTimestampOpeningSection5min;39.1635;0.1984
bearish_dsc_ask_bid_delta_imbalance <-> poc_diff_ratio_6P_21P;38.8619;0.1969
bullish_asc_dynamics <-> bearish_extrem_abs_ratio_extrem;38.7786;0.1965
bearish_extreme_volume_score <-> bearish_extrem_dsc_ratio_extrem;38.7547;0.1964
poc_diff_ratio_6P_21P <-> bearish_imnbScore_score;38.5996;0.1956
extrem_ask_bid_imbalance_bearish_extrem <-> pocDeltaPocVolRatio;38.4545;0.1948
deltaTimestampOpeningSection5min <-> bullish_asc_dynamics;38.4441;0.1948
diffPriceClosePoc_0_2 <-> bearish_dsc_ask_bid_delta_imbalance;38.3572;0.1943
bearish_ask_score <-> bearish_repeatAskBid_ratio;38.2432;0.1938
bullish_absorption_intensity_repeat_count <-> bullish_repeatAskBid_ratio;38.2309;0.1937
market_regimeADX <-> bearish_combined_pressure;38.2266;0.1937
bearish_asc_dynamics <-> bearish_extreme_volume_score;37.8571;0.1918
poc_diff_ratio_6P_21P <-> bull_imbalance_high_2;37.3657;0.1893
diffPriceClose_VA16PvaH <-> price_volume_dynamic;37.2524;0.1887
cumDiffVolDeltaRatio <-> bearish_dsc_ask_bid_delta_imbalance;37.1510;0.1882
bearish_extreme_volume_score <-> bearish_combined_pressure;37.0004;0.1875
deltaTimestampOpeningSection5min <-> bearish_imnbScore_score;36.9722;0.1873
bullish_repeatAskBid_ratio <-> bearish_extrem_dsc_ratio_extrem;36.8881;0.1869
diffLowPrice_0_1 <-> bearish_extrem_abs_ratio_extrem;36.8427;0.1867
bearish_combined_pressure <-> bearish_dsc_ask_bid_delta_imbalance;36.8392;0.1867
absorption_intensity_repeat_bearish_vol <-> bearish_market_context_score;36.7527;0.1862
bearish_ask_score <-> diffPriceCloseVWAP;36.6780;0.1858
deltaTimestampOpeningSection5min <-> extrem_ask_bid_imbalance_bearish_extrem;36.5229;0.1850
bearish_extrem_abs_ratio_extrem <-> diffPriceClosePoc_0_1;36.4871;0.1849
market_regimeADX <-> deltaTimestampOpeningSection5min;36.3990;0.1844
bearish_repeat_ticks_ratio_extrem <-> bullish_repeatAskBid_ratio;36.1960;0.1834
extrem_ask_bid_imbalance_bearish_extrem <-> cumDiffVolDeltaRatio;36.1723;0.1833
bearish_extrem_dsc_ratio_extrem <-> diffVolDelta_0_1Ratio;36.0444;0.1826
atr <-> diffPriceCloseVWAP;35.6469;0.1806
bullish_asc_dynamics <-> pocDeltaPocVolRatio;35.5751;0.1802
bearish_dsc_ask_bid_imbalance <-> bearish_ask_score;35.5070;0.1799
market_regimeADX <-> VolCandleMeanxRatio;35.4706;0.1797
bearish_dsc_ask_bid_imbalance <-> market_regimeADX;35.4648;0.1797
diffPriceClose_VA16PvaH <-> poc_diff_ratio_6P_21P;35.4640;0.1797
bearish_dsc_ask_bid_delta_imbalance <-> absorption_intensity_repeat_bearish_vol;35.4134;0.1794
bearish_bid_abs_ratio_abv <-> bull_imbalance_high_2;35.3256;0.1790
bearish_dsc_ask_bid_imbalance <-> bearish_extrem_abs_ratio_extrem;35.3227;0.1790
bullish_asc_dynamics <-> vol_volatility_score;35.2795;0.1787
bearish_asc_dynamics <-> bullish_repeatAskBid_ratio;35.1914;0.1783
absorption_intensity_repeat_bearish_vol <-> bearish_repeatAskBid_ratio;35.0410;0.1775
bearish_market_context_score <-> atr;34.9879;0.1773
bullish_absorption_intensity_repeat_count <-> bearish_extrem_abs_ratio_extrem;34.8923;0.1768
diffPriceClosePoc_0_2 <-> cumDiffVolDeltaRatio;34.5632;0.1751
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_ratio;34.5534;0.1751
bearish_repeat_ticks_ratio_extrem <-> bullish_absorption_intensity_repeat_count;34.4719;0.1747
bearish_imnbScore_score <-> bearish_market_context_score;34.4186;0.1744
diffPriceCloseVWAP <-> absorption_intensity_repeat_bearish_vol;34.4138;0.1744
ratio_delta_vol_VA11P <-> bearish_repeatAskBid_ratio;34.3597;0.1741
bearish_extrem_dsc_ratio_extrem <-> bearish_dsc_ask_bid_delta_imbalance;34.3584;0.1741
vol_volatility_score <-> ratio_delta_vol_VA11P;34.0865;0.1727
bull_imbalance_high_2 <-> extrem_ask_bid_imbalance_bearish_extrem;34.0148;0.1723
bullish_asc_dynamics <-> extrem_ask_bid_imbalance_bearish_extrem;33.9910;0.1722
bearish_combined_pressure <-> bearish_dsc_ask_bid_imbalance;33.5950;0.1702
extrem_ask_bid_imbalance_bearish_extrem <-> bearish_absorption_ratio;33.3911;0.1692
bearish_dsc_ask_bid_delta_imbalance <-> bearish_repeatAskBid_ratio;33.3557;0.1690
atr <-> price_volume_dynamic;33.3226;0.1688
bearish_combined_pressure <-> bull_imbalance_high_2;33.2605;0.1685
vol_volatility_score <-> absorption_intensity_repeat_bearish_vol;33.2486;0.1685
bearish_combined_pressure <-> diffPriceClosePoc_0_2;33.1285;0.1679
pocDeltaPocVolRatio <-> diffPriceClosePoc_0_2;32.9297;0.1668
bearish_asc_dynamics <-> bearish_market_context_score;32.8445;0.1664
bullish_asc_dynamics <-> VolCandleMeanxRatio;32.7980;0.1662
cumDiffVolDeltaRatio <-> diffVolDelta_0_1Ratio;32.7355;0.1659
vol_volatility_score <-> bearish_ask_score;32.6827;0.1656
bearish_market_context_score <-> bearish_absorption_ratio;32.6809;0.1656
bearish_extrem_dsc_ratio_extrem <-> bull_imbalance_high_2;32.6576;0.1655
bull_imbalance_high_2 <-> bearish_market_context_score;32.5929;0.1651
market_regimeADX <-> cumDiffVolDeltaRatio;32.4606;0.1645
vol_volatility_score <-> extrem_ask_bid_imbalance_bearish_extrem;32.3479;0.1639
bullish_absorption_intensity_repeat_count <-> bearish_extrem_dsc_ratio_extrem;32.3069;0.1637
deltaTimestampOpeningSection5min <-> bearish_combined_pressure;32.2421;0.1634
absorption_intensity_repeat_bearish_vol <-> extrem_ask_bid_imbalance_bearish_extrem;32.2020;0.1632
diffPriceClose_VA16PvaH <-> bearish_repeat_ticks_ratio_extrem;31.9748;0.1620
VolCandleMeanxRatio <-> bearish_dsc_ask_bid_imbalance;31.9367;0.1618
cumDiffVolDeltaRatio <-> atr;31.9100;0.1617
VolCandleMeanxRatio <-> ratio_delta_vol_VA11P;31.4432;0.1593
VolCandleMeanxRatio <-> diffPriceClosePoc_0_3;31.3945;0.1591
diffPriceClose_VA16PvaH <-> vol_volatility_score;31.2696;0.1584
diffPriceClosePoc_0_2 <-> price_volume_dynamic;31.1748;0.1580
bearish_repeat_ticks_ratio_extrem <-> bearish_absorption_ratio;31.0427;0.1573
bearish_combined_pressure <-> bullish_repeatAskBid_ratio;31.0310;0.1572
VolCandleMeanxRatio <-> bearish_extrem_dsc_ratio_extrem;30.9788;0.1570
ratio_delta_vol_VA11P <-> bullish_asc_dynamics;30.8620;0.1564
pocDeltaPocVolRatio <-> bull_imbalance_high_2;30.6109;0.1551
bearish_extreme_volume_score <-> bullish_asc_dynamics;30.5928;0.1550
bearish_asc_dynamics <-> bearish_extrem_abs_ratio_extrem;30.4554;0.1543
pocDeltaPocVolRatio <-> bearish_repeat_ticks_ratio_extrem;30.1205;0.1526
bullish_asc_dynamics <-> bearish_ask_score;29.9328;0.1517
poc_diff_ratio_6P_21P <-> price_volume_dynamic;29.8300;0.1511
bearish_ask_score <-> ratio_delta_vol_VA11P;29.8039;0.1510
bullish_absorption_intensity_repeat_count <-> bearish_dsc_ask_bid_delta_imbalance;29.7899;0.1509
bearish_market_context_score <-> diffLowPrice_0_1;29.7805;0.1509
bullish_asc_dynamics <-> diffVolDelta_0_1Ratio;29.5346;0.1496
ratio_delta_vol_VA11P <-> atr;29.5186;0.1496
bearish_absorption_ratio <-> diffPriceClose_VA16PvaH;29.4400;0.1492
bearish_repeatAskBid_ratio <-> diffVolDelta_0_1Ratio;29.2075;0.1480
pocDeltaPocVolRatio <-> cumDiffVolDeltaRatio;29.0436;0.1472
bearish_combined_pressure <-> diffPriceCloseVWAP;29.0410;0.1471
cumDiffVolDeltaRatio <-> vol_volatility_score;28.8881;0.1464
bearish_asc_dynamics <-> cumDiffVolDeltaRatio;28.8590;0.1462
bearish_extrem_dsc_ratio_extrem <-> pocDeltaPocVolRatio;28.7707;0.1458
bearish_extrem_abs_ratio_extrem <-> diffPriceClosePoc_0_2;28.7214;0.1455
diffPriceClosePoc_0_1 <-> VolCandleMeanxRatio;28.7120;0.1455
bearish_extrem_dsc_ratio_extrem <-> bullish_asc_dynamics;28.6957;0.1454
bearish_repeat_ticks_ratio_extrem <-> market_regimeADX;28.6944;0.1454
pocDeltaPocVolRatio <-> bearish_absorption_ratio;28.6847;0.1453
VolCandleMeanxRatio <-> poc_diff_ratio_6P_21P;28.5397;0.1446
diffPriceCloseVWAP <-> poc_diff_ratio_6P_21P;28.5102;0.1445
bearish_repeatAskBid_ratio <-> diffLowPrice_0_1;28.4135;0.1440
bearish_dsc_ask_bid_delta_imbalance <-> bearish_dsc_ask_bid_imbalance;28.2917;0.1433
bearish_market_context_score <-> diffVolDelta_0_1Ratio;28.1086;0.1424
ratio_delta_vol_VA11P <-> diffLowPrice_0_1;28.0905;0.1423
price_volume_dynamic <-> bearish_repeat_ticks_ratio_extrem;28.0661;0.1422
diffPriceClose_VA16PvaH <-> diffPriceCloseVWAP;27.8862;0.1413
market_regimeADX <-> bullish_asc_dynamics;27.7667;0.1407
diffPriceCloseVWAP <-> market_regimeADX;27.6920;0.1403
vol_volatility_score <-> diffPriceClosePoc_0_3;27.4830;0.1392
ratio_delta_vol_VA11P <-> pocDeltaPocVolRatio;27.4091;0.1389
bearish_extreme_volume_score <-> diffLowPrice_0_1;27.3921;0.1388
poc_diff_ratio_6P_21P <-> diffPriceClosePoc_0_3;27.3667;0.1387
diffPriceClosePoc_0_1 <-> cumDiffVolDeltaRatio;27.2066;0.1378
bearish_absorption_ratio <-> bearish_extreme_volume_score;27.1053;0.1373
bearish_repeat_ticks_ratio_extrem <-> diffPriceCloseVWAP;27.0530;0.1371
bearish_dsc_ask_bid_delta_imbalance <-> bearish_bid_abs_ratio_abv;26.7120;0.1353
ratio_delta_vol_VA11P <-> bullish_absorption_intensity_repeat_count;26.5984;0.1348
bullish_absorption_intensity_repeat_count <-> bearish_imnbScore_score;26.2362;0.1329
diffVolDelta_0_1Ratio <-> vol_volatility_score;26.0918;0.1322
bearish_market_context_score <-> diffPriceClosePoc_0_3;26.0773;0.1321
poc_diff_ratio_6P_21P <-> bearish_ask_score;25.9894;0.1317
bearish_bid_abs_ratio_abv <-> vol_volatility_score;25.9152;0.1313
bearish_imnbScore_score <-> bearish_asc_dynamics;25.7851;0.1306
bearish_dsc_ask_bid_delta_imbalance <-> bearish_ask_score;25.7287;0.1304
bullish_absorption_intensity_repeat_count <-> vol_volatility_score;25.7188;0.1303
pocDeltaPocVolRatio <-> bearish_ask_score;25.7039;0.1302
bull_imbalance_high_2 <-> bearish_extreme_volume_score;25.6962;0.1302
bearish_repeatAskBid_ratio <-> bearish_bid_abs_ratio_abv;25.5706;0.1296
bullish_absorption_intensity_repeat_count <-> bearish_absorption_ratio;25.5016;0.1292
bearish_dsc_ask_bid_imbalance <-> bullish_repeatAskBid_ratio;25.4949;0.1292
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_2;25.4512;0.1290
bearish_repeatAskBid_ratio <-> price_volume_dynamic;25.3439;0.1284
atr <-> bearish_dsc_ask_bid_imbalance;25.2725;0.1280
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceCloseVWAP;25.2607;0.1280
bearish_extrem_abs_ratio_extrem <-> bearish_bid_abs_ratio_abv;25.2064;0.1277
bearish_absorption_ratio <-> bearish_combined_pressure;25.1044;0.1272
pocDeltaPocVolRatio <-> bullish_absorption_intensity_repeat_count;25.0228;0.1268
diffPriceClosePoc_0_2 <-> vol_volatility_score;24.8858;0.1261
