feature;importance;importance_percentage;cumulative_importance_percentage
bearish_price_dynamics_comparison_6Tick;0.0;0.0;100.00001
bearish_price_dynamics_comparison_6Tick_special;0.0;0.0;100.00001
bullish_price_dynamics_comparison_6Tick;0.0;0.0;100.00001
bullish_price_dynamics_comparison_6Tick_special;0.0;0.0;100.00001
bullish_activity_ask_bid_ratio_6Tick;0.0;0.0;100.00001
bearish_repeat_ticks_imbalance_6Tick;0.0;0.0;100.00001
bullish_repeat_ticks_imbalance_6Tick;0.0;0.0;100.00001
bearish_ticks_imbalance_6Tick;0.0;0.0;100.00001
bullish_ticks_imbalance_6Tick;0.0;0.0;100.00001
bullish_market_context_score;0.0;0.0;100.00001
bearish_combined_pressure;0.0;0.0;100.00001
naked_poc_dist_above;0.0;0.0;100.00001
bullish_relatif_ratio_6Tick;0.0;0.0;100.00001
bearish_relatif_ratio_6Tick;0.0;0.0;100.00001
bullish_volume_ratio_6Tick;0.0;0.0;100.00001
bullish_extrem_pressure_ratio_extrem;0.0;0.0;100.00001
extrem_asc_ratio_bullish_extrem;0.0;0.0;100.00001
extrem_dsc_ratio_bullish_extrem;0.0;0.0;100.00001
extrem_zone_significance_bullish_extrem;0.0;0.0;100.00001
extrem_ask_bid_imbalance_bullish;0.0;0.0;100.00001
extrem_ask_bid_imbalance_bullish_special_extrem;0.0;0.0;100.00001
extrem_asc_dsc_comparison_bullish_extrem;0.0;0.0;100.00001
bearish_absorption_ratio;0.0;0.0;100.00001
bearish_absorption_ratio_special;0.0;0.0;100.00001
bullish_absorption_ratio;0.0;0.0;100.00001
bullish_absorption_ratio_special;0.0;0.0;100.00001
bearish_big_trade_ratio2_special_extrem;0.0;0.0;100.00001
bearish_volume_ratio_6Tick;0.0;0.0;100.00001
bullish_big_trade_ratio2_extrem;0.0;0.0;100.00001
bullish_big_trade_ratio2_extrem_special;0.0;0.0;100.00001
absorption_intensity_repeat_bearish_vol;0.0;0.0;100.00001
bearish_absorption_intensity_repeat_count;0.0;0.0;100.00001
bearish_absorption_intensity_repeat_count_special;0.0;0.0;100.00001
bullish_absorption_intensity_repeat_count;0.0;0.0;100.00001
bullish_absorption_intensity_repeat_count_special;0.0;0.0;100.00001
count_AbvBlw_asym_ratio;0.0;0.0;100.00001
count_blw_tot_ratio;0.0;0.0;100.00001
count_abv_tot_ratio;0.0;0.0;100.00001
bullish_extrem_pressure_ratio_special_extrem;0.0;0.0;100.00001
bearish_bidBigHigh_abs_ratio_abv;0.0;0.0;100.00001
bearish_extrem_pressure_ratio_special_extrem;0.0;0.0;100.00001
poc_diff_11P_21P;0.0;0.0;100.00001
diffPriceClose_VA16PPoc;0.0;0.0;100.00001
diffPriceClose_VA16PvaH;0.0;0.0;100.00001
diffPriceClose_VA16PvaL;0.0;0.0;100.00001
diffPriceClose_VA21PPoc;0.0;0.0;100.00001
diffPriceClose_VA21PvaH;0.0;0.0;100.00001
overlap_ratio_VA_6P_11P;0.0;0.0;100.00001
overlap_ratio_VA_6P_16P;0.0;0.0;100.00001
overlap_ratio_VA_11P_21P;0.0;0.0;100.00001
poc_diff_6P_11P;0.0;0.0;100.00001
poc_diff_6P_16P;0.0;0.0;100.00001
poc_diff_6P_21P;0.0;0.0;100.00001
poc_diff_ratio_11P_21P;0.0;0.0;100.00001
diffPriceClose_VA11PvaL;0.0;0.0;100.00001
market_regimeADX;0.0;0.0;100.00001
market_regimeADX_state;0.0;0.0;100.00001
range_strength_10_32;0.0;0.0;100.00001
is_in_range_10_32;0.0;0.0;100.00001
is_in_range_5_23;0.0;0.0;100.00001
bearish_reversal_force;0.0;0.0;100.00001
bullish_reversal_force;0.0;0.0;100.00001
bearish_ask_bid_ratio;0.0;0.0;100.00001
ratioDeltaBlw;0.0;0.0;100.00001
ratioDeltaAbv;0.0;0.0;100.00001
diffVolCandle_0_1Ratio;0.0;0.0;100.00001
ratio_delta_vol_VA16P;0.0;0.0;100.00001
