Correlation_Pair;Correlation_Value;Absolute_Correlation
candleSizeTicks <-> count_blw_tot_ratio;0.9039;0.9039
candleSizeTicks <-> asymetrie_volume;-0.9005;0.9005
candleSizeTicks <-> VolAbv_vol_ratio;-0.8977;0.8977
candleSizeTicks <-> VolBlw_vol_ratio;0.8974;0.8974
candleSizeTicks <-> bullish_reversal_force;0.8971;0.8971
candleSizeTicks <-> bearish_reversal_force;-0.8745;0.8745
candleSizeTicks <-> VolPocVolCandleRatio;-0.7184;0.7184
candleSizeTicks <-> VolCandleMeanxRatio;0.6290;0.6290
candleSizeTicks <-> bullish_ask_score;0.5670;0.5670
candleSizeTicks <-> bullish_imnbScore_score;0.4607;0.4607
candleSizeTicks <-> bullish_ask_abs_ratio_blw;0.3986;0.3986
candleSizeTicks <-> bullish_ask_ratio;0.3874;0.3874
candleSizeTicks <-> ratioDeltaBlw;0.3213;0.3213
candleSizeTicks <-> bullish_bid_ratio;-0.3211;0.3211
candleSizeTicks <-> bullish_ask_bid_ratio;-0.3078;0.3078
candleSizeTicks <-> bearish_ask_abs_ratio_abv;0.2930;0.2930
candleSizeTicks <-> imbalance_score_low;0.2879;0.2879
candleSizeTicks <-> bearish_ask_ratio;0.2853;0.2853
candleSizeTicks <-> bull_imbalance_low_3;0.2569;0.2569
candleSizeTicks <-> bearish_bid_score;-0.2561;0.2561
candleSizeTicks <-> bear_imbalance_low_2;-0.2500;0.2500
candleSizeTicks <-> ratioDeltaAbv;0.2355;0.2355
candleSizeTicks <-> diffVolDelta_0_1Ratio;0.2335;0.2335
candleSizeTicks <-> bearish_abs_diff_abv;0.2308;0.2308
candleSizeTicks <-> bear_imbalance_low_0;-0.2127;0.2127
candleSizeTicks <-> bearish_ask_bid_ratio;0.1933;0.1933
candleSizeTicks <-> bearish_bid_ratio;-0.1895;0.1895
candleSizeTicks <-> cumDiffVolDeltaRatio;-0.1888;0.1888
candleSizeTicks <-> bearish_imnbScore_score;-0.1791;0.1791
candleSizeTicks <-> bull_imbalance_low_2;0.1716;0.1716
candleSizeTicks <-> bear_imbalance_low_1;-0.1570;0.1570
candleSizeTicks <-> overlap_ratio_VA_6P_21P;0.1505;0.1505
candleSizeTicks <-> overlap_ratio_VA_6P_16P;0.1502;0.1502
candleSizeTicks <-> bull_imbalance_low_1;0.1499;0.1499
candleSizeTicks <-> bear_imbalance_high_3;-0.1348;0.1348
candleSizeTicks <-> diffVolCandle_0_1Ratio;0.1266;0.1266
candleSizeTicks <-> bullish_bid_score;0.1203;0.1203
candleSizeTicks <-> bullish_bid_abs_ratio_blw;-0.1200;0.1200
candleSizeTicks <-> range_strength_10_32;-0.1136;0.1136
candleSizeTicks <-> bearish_bid_abs_ratio_abv;-0.1071;0.1071
candleSizeTicks <-> range_strength_5_23;-0.1044;0.1044
candleSizeTicks <-> bull_imbalance_high_2;0.1021;0.1021
candleSizeTicks <-> pocDeltaPocVolRatio;0.1012;0.1012
candleSizeTicks <-> overlap_ratio_VA_11P_21P;0.0646;0.0646
candleSizeTicks <-> is_in_range_5_23;-0.0640;0.0640
candleSizeTicks <-> bearish_ask_score;-0.0592;0.0592
deltaTimestampOpeningSection1min <-> bearish_ask_score;0.0524;0.0524
deltaTimestampOpeningSection1min <-> bullish_imnbScore_score;-0.0521;0.0521
deltaTimestampOpeningSection1min <-> finished_auction_high;-0.0513;0.0513
deltaTimestampOpeningSection1min <-> bearish_extrem_revIntensity_ratio_extrem;-0.0506;0.0506
deltaTimestampOpeningSection1min <-> bearish_imnbScore_score;-0.0473;0.0473
candleSizeTicks <-> poc_diff_6P_16P;-0.0461;0.0461
candleSizeTicks <-> poc_diff_ratio_6P_21P;-0.0460;0.0460
candleSizeTicks <-> poc_diff_6P_21P;-0.0453;0.0453
candleSizeTicks <-> bear_imbalance_high_2;-0.0451;0.0451
deltaTimestampOpeningSection1min <-> bearish_bid_abs_ratio_abv;0.0450;0.0450
candleSizeTicks <-> poc_diff_ratio_6P_16P;-0.0394;0.0394
deltaTimestampOpeningSection1min <-> bearish_abs_diff_abv;-0.0392;0.0392
candleSizeTicks <-> poc_diff_ratio_11P_21P;-0.0365;0.0365
candleSizeTicks <-> poc_diff_6P_11P;-0.0343;0.0343
deltaTimestampOpeningSection1min <-> bullish_bid_abs_ratio_blw;0.0341;0.0341
candleSizeTicks <-> market_regimeADX;-0.0339;0.0339
candleSizeTicks <-> bull_imbalance_high_1;0.0338;0.0338
deltaTimestampOpeningSection1min <-> diffPriceCloseVWAPbyIndex;-0.0336;0.0336
deltaTimestampOpeningSection1min <-> bullish_bid_score;0.0310;0.0310
deltaTimestampOpeningSection1min <-> bear_imbalance_high_1;0.0310;0.0310
deltaTimestampOpeningSection1min <-> ratioDeltaAbv;-0.0307;0.0307
deltaTimestampOpeningSection1min <-> bear_imbalance_high_2;0.0306;0.0306
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PvaL;0.0303;0.0303
deltaTimestampOpeningSection1min <-> bearish_ask_bid_ratio;-0.0302;0.0302
candleSizeTicks <-> poc_diff_11P_21P;-0.0298;0.0298
deltaTimestampOpeningSection1min <-> bearish_ask_ratio;-0.0291;0.0291
deltaTimestampOpeningSection1min <-> diffVolDelta_0_1Ratio;-0.0285;0.0285
deltaTimestampOpeningSection1min <-> bearish_bid_ratio;0.0281;0.0281
candleSizeTicks <-> finished_auction_low;0.0279;0.0279
deltaTimestampOpeningSection1min <-> bearish_ask_abs_ratio_abv;-0.0276;0.0276
deltaTimestampOpeningSection1min <-> diffPriceClose_VA21PvaL;0.0273;0.0273
deltaTimestampOpeningSection1min <-> bullish_ask_score;-0.0271;0.0271
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PPoc;0.0270;0.0270
deltaTimestampOpeningSection1min <-> bull_imbalance_high_0;-0.0267;0.0267
deltaTimestampOpeningSection1min <-> diffPriceClose_VA21PPoc;0.0248;0.0248
deltaTimestampOpeningSection1min <-> diffPriceClose_VA11PvaL;0.0246;0.0246
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_2;0.0244;0.0244
deltaTimestampOpeningSection1min <-> atr;0.0242;0.0242
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PvaH;0.0239;0.0239
deltaTimestampOpeningSection1min <-> diffPriceClose_VA16PvaL;0.0231;0.0231
deltaTimestampOpeningSection1min <-> perct_VA6P;0.0227;0.0227
candleSizeTicks <-> poc_diff_ratio_6P_11P;-0.0225;0.0225
deltaTimestampOpeningSection1min <-> diffLowPrice_0_1;0.0224;0.0224
deltaTimestampOpeningSection1min <-> diffPriceClose_VA11PPoc;0.0221;0.0221
deltaTimestampOpeningSection1min <-> perct_VA21P;0.0217;0.0217
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_3;0.0215;0.0215
deltaTimestampOpeningSection1min <-> bear_imbalance_low_2;0.0214;0.0214
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_5;0.0211;0.0211
deltaTimestampOpeningSection1min <-> perct_VA11P;0.0209;0.0209
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_1;0.0208;0.0208
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_4;0.0205;0.0205
deltaTimestampOpeningSection1min <-> diffHighPrice_0_3;0.0204;0.0204
