Interaction;Value;Percentage_Contribution
bearish_extrem_abs_ratio_extrem <-> ratio_delta_vol_VA11P;14.6022;1.0444
bearish_extrem_abs_ratio_extrem <-> ratio_delta_vol_VA21P;13.6895;0.9791
bearish_extrem_abs_ratio_extrem <-> bearish_extrem_vs_rest_activity_extrem;13.6681;0.9776
bearish_extrem_abs_ratio_extrem <-> diffPriceClose_VA21PvaH;12.1096;0.8661
bearish_extrem_abs_ratio_extrem <-> diffPriceClosePoc_0_4;11.6641;0.8342
imbalance_score_high <-> pocDeltaPocVolRatio;10.7103;0.7660
bullish_dsc_ask_bid_imbalance <-> bearish_extrem_abs_ratio_extrem;10.6122;0.7590
diffVolDelta_0_1Ratio <-> diffHighPrice_0_4;10.3073;0.7372
perct_VA11P <-> bearish_extrem_abs_ratio_extrem;10.0931;0.7219
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA6PPoc;9.1667;0.6556
bearish_extrem_abs_ratio_extrem <-> diffHighPrice_0_3;8.9719;0.6417
bearish_extrem_dsc_ratio_extrem <-> bearish_ask_score;8.9039;0.6368
bearish_extrem_revIntensity_ratio_extrem <-> bearish_extrem_abs_ratio_extrem;8.7261;0.6241
bullish_ask_ratio <-> bullish_repeatAskBid_ratio;8.4734;0.6060
bearish_asc_ask_bid_delta_imbalance <-> bullish_ask_abs_ratio_blw;8.4462;0.6041
bearish_market_context_score <-> bearish_extrem_abs_ratio_extrem;8.4124;0.6017
bearish_market_context_score <-> bullish_imnbScore_score;8.3400;0.5965
perct_VA21P <-> diffPriceClosePoc_0_3;8.1985;0.5864
bullish_absorption_score <-> bearish_extrem_zone_volume_ratio_extrem;8.1756;0.5847
ratio_delta_vol_VA11P <-> cumDiffVolDeltaRatio;8.0716;0.5773
perct_VA11P <-> diffHighPrice_0_4;7.9496;0.5686
diffPriceClose_VA6PPoc <-> diffPriceClosePoc_0_2;7.7925;0.5573
