feature;importance;importance_percentage;cumulative_importance_percentage
overlap_ratio_VA_6P_16P;-2.476078e-06;0.07895957;98.11251
poc_diff_ratio_6P_11P;-2.474626e-06;0.078913264;98.19142
bullish_ask_score;-2.4310125e-06;0.07752248;98.26894
ratio_delta_vol_VA6P;2.4100104e-06;0.07685275;98.345795
bullish_combined_pressure;-2.398643e-06;0.076490246;98.42229
extrem_asc_ratio_bearish_extrem;2.2926465e-06;0.07311013;98.4954
bearish_dsc_dynamics;2.2610827e-06;0.07210359;98.567505
diffLowPrice_0_5;-2.254638e-06;0.07189808;98.639404
ratio_delta_vol_VA16P;-2.1619005e-06;0.06894077;98.70834
poc_diff_6P_21P;2.1349297e-06;0.06808071;98.77642
bullish_absorption_ratio;1.9616343e-06;0.06255449;98.838974
bearish_ask_ratio;1.9096015e-06;0.06089522;98.89987
diffPriceClosePoc_0_4;-1.9043399e-06;0.060727436;98.9606
count_blw_tot_ratio;-1.8857648e-06;0.060135096;99.02074
diffPriceClose_VA11PvaL;1.865489e-06;0.05948852;99.08022
finished_auction_low;-1.8483146e-06;0.058940843;99.13916
diffPriceClose_VA21PvaL;-1.7552752e-06;0.055973914;99.19514
bearish_extrem_dsc_ratio_extrem;1.7380331e-06;0.055424083;99.250565
bearish_imnbScore_score;-1.615779e-06;0.051525526;99.30209
bearish_absorption_ratio;-1.6057775e-06;0.05120659;99.3533
absorption_intensity_repeat_bullish_vol;-1.458949e-06;0.04652438;99.399826
diffHighPrice_0_5;-1.4282697e-06;0.045546044;99.44537
range_strength_5_23;-1.4195049e-06;0.045266546;99.49064
bullish_abs_diff_blw;-1.3970152e-06;0.044549376;99.53519
bullish_asc_ask_bid_delta_imbalance;1.2422624e-06;0.039614465;99.5748
bearish_ask_bid_ratio;1.2415177e-06;0.039590716;99.61439
bullish_bid_score;9.651849e-07;0.03077875;99.645164
count_AbvBlw_asym_ratio;-9.597957e-07;0.030606896;99.67577
VolAbv_vol_ratio;-8.998172e-07;0.028694244;99.70447
bullish_market_context_score;-8.949266e-07;0.028538285;99.73301
bullish_dsc_ask_bid_delta_imbalance;8.1577457e-07;0.026014209;99.759026
bear_imbalance_high_3;-7.904126e-07;0.025205443;99.78423
bearish_bid_score;7.203646e-07;0.022971684;99.807205
