Interaction;Value;Percentage_Contribution
diffPriceCloseVWAP <-> bearish_asc_ask_bid_delta_imbalance;137.9046;0.1471
bearish_dsc_ask_bid_delta_imbalance <-> perct_VA16P;133.3440;0.1423
market_regimeADX <-> perct_VA16P;111.5699;0.1190
bearish_combined_pressure <-> perct_VA11P;107.2182;0.1144
bullish_bid_abs_ratio_blw <-> bearish_abs_diff_abv;98.2805;0.1048
bull_imbalance_low_1 <-> bear_imbalance_low_0;89.7250;0.0957
diffLowPrice_0_3 <-> perct_VA16P;89.5372;0.0955
ratio_delta_vol_VA21P <-> bullish_absorption_score;83.9735;0.0896
ratio_delta_vol_VA21P <-> perct_VA16P;83.6191;0.0892
diffVolCandle_0_1Ratio <-> market_regimeADX;82.2370;0.0877
diffVolCandle_0_1Ratio <-> extrem_asc_dsc_comparison_bearish_extrem;81.7364;0.0872
perct_VA11P <-> perct_VA16P;81.6744;0.0871
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_low_0;80.4025;0.0858
bull_imbalance_high_0 <-> market_regimeADX;80.1838;0.0855
bearish_extrem_abs_ratio_extrem <-> bearish_continuation_vs_reversal_extrem;79.3061;0.0846
bear_imbalance_high_1 <-> bull_imbalance_high_0;78.5922;0.0838
perct_VA16P <-> bullish_absorption_ratio;77.1528;0.0823
bullish_bid_ratio <-> bullish_reversal_force;76.5606;0.0817
bull_imbalance_low_1 <-> bearish_dsc_ask_bid_delta_imbalance;75.8646;0.0809
bearish_ask_ratio <-> ratioDeltaAbv;75.0318;0.0800
bearish_absorption_score <-> diffPriceCloseVWAP;74.9329;0.0799
diffPriceClosePoc_0_4 <-> bearish_absorption_intensity_repeat_count;73.9213;0.0789
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceClosePoc_0_4;73.6080;0.0785
perct_VA16P <-> bearish_dsc_ask_bid_imbalance;72.8492;0.0777
diffHighPrice_0_4 <-> bearish_abs_diff_abv;71.7484;0.0765
bearish_dsc_ask_bid_delta_imbalance <-> perct_VA6P;71.6214;0.0764
vol_volatility_score <-> price_volume_dynamic;70.9098;0.0756
extrem_ask_bid_imbalance_bearish_extrem <-> perct_VA16P;70.9055;0.0756
perct_VA11P <-> diffHighPrice_0_3;70.5558;0.0753
bullish_absorption_score <-> perct_VA16P;70.2252;0.0749
bearish_continuation_vs_reversal_extrem <-> extrem_asc_dsc_comparison_bearish_extrem;70.1853;0.0749
overlap_ratio_VA_11P_21P <-> price_volume_dynamic;69.6853;0.0743
diffLowPrice_0_3 <-> perct_VA11P;69.2069;0.0738
perct_VA11P <-> diffVolCandle_0_1Ratio;69.1523;0.0738
bearish_absorption_intensity_repeat_count <-> bearish_extrem_pressure_ratio_extrem;69.0974;0.0737
bearish_ask_ratio <-> bearish_extrem_abs_ratio_extrem;68.5477;0.0731
perct_VA11P <-> bearish_repeatAskBid_ratio;68.4629;0.0730
bullish_bid_abs_ratio_blw <-> bullish_dsc_ask_bid_delta_imbalance;68.3895;0.0730
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;67.5824;0.0721
bearish_absorption_intensity_repeat_count <-> market_regimeADX;67.1649;0.0717
perct_VA11P <-> bullish_absorption_score;66.2803;0.0707
diffVolCandle_0_1Ratio <-> perct_VA16P;65.6136;0.0700
bullish_repeatAskBid_ratio <-> bearish_absorption_intensity_repeat_count;65.5732;0.0700
bearish_extrem_abs_ratio_extrem <-> ratio_delta_vol_VA21P;65.2837;0.0696
bearish_dsc_ask_bid_delta_imbalance <-> bearish_extrem_revIntensity_ratio_extrem;63.1199;0.0673
perct_VA6P <-> bearish_combined_pressure;63.0423;0.0673
overlap_ratio_VA_11P_21P <-> diffPriceClose_VA16PvaH;62.7156;0.0669
diffPriceClose_VA21PPoc <-> overlap_ratio_VA_11P_21P;62.6615;0.0668
poc_diff_ratio_6P_21P <-> bearish_dsc_ask_bid_delta_imbalance;62.4657;0.0666
VolCandleMeanxRatio <-> bearish_dsc_ask_bid_delta_imbalance;62.1721;0.0663
bearish_repeat_ticks_ratio_extrem <-> bearish_reversal_force;62.1348;0.0663
range_strength_5_23 <-> perct_VA16P;61.8751;0.0660
bearish_dsc_ask_bid_delta_imbalance <-> bearish_extrem_dsc_ratio_extrem;61.6545;0.0658
bearish_absorption_intensity_repeat_count <-> bullish_combined_pressure;61.5352;0.0656
bearish_continuation_vs_reversal_extrem <-> diffPriceClose_VA16PvaH;61.2051;0.0653
perct_VA16P <-> bearish_continuation_vs_reversal_extrem;61.0451;0.0651
bullish_absorption_score <-> bullish_absorption_ratio;60.8982;0.0650
perct_VA11P <-> bull_imbalance_low_2;60.7460;0.0648
bull_imbalance_low_3 <-> perct_VA16P;60.2170;0.0642
bullish_ask_score <-> bullish_bid_abs_ratio_blw;60.1945;0.0642
bearish_continuation_vs_reversal_extrem <-> ratio_delta_vol_VA21P;60.0619;0.0641
perct_VA11P <-> bearish_dsc_ask_bid_delta_imbalance;60.0564;0.0641
bearish_extrem_dsc_ratio_extrem <-> extrem_ask_bid_imbalance_bearish_extrem;59.8434;0.0638
bullish_reversal_force <-> bearish_ask_score;58.9438;0.0629
bearish_market_context_score <-> bearish_dsc_ask_bid_delta_imbalance;58.9407;0.0629
diffPriceClose_VA11PvaH <-> diffPriceClosePoc_0_1;58.7942;0.0627
perct_VA6P <-> diffVolCandle_0_1Ratio;58.0993;0.0620
bearish_repeat_ticks_ratio_extrem <-> bear_imbalance_high_3;57.9691;0.0618
naked_poc_dist_above <-> bearish_ask_score;57.9295;0.0618
absorption_intensity_repeat_bearish_vol <-> diffPriceClose_VA11PPoc;57.7342;0.0616
bullish_absorption_score <-> diffPriceClosePoc_0_5;57.1806;0.0610
price_volume_dynamic <-> bearish_dsc_ask_bid_delta_imbalance;57.1265;0.0609
diffPriceCloseVWAP <-> bear_imbalance_low_2;57.0820;0.0609
diffPriceClose_VA11PvaH <-> perct_VA11P;56.9744;0.0608
bearish_repeat_ticks_ratio_extrem <-> bearish_dsc_ask_bid_delta_imbalance;56.3895;0.0602
bearish_extrem_abs_ratio_extrem <-> perct_VA16P;55.9232;0.0597
perct_VA21P <-> diffVolCandle_0_1Ratio;55.3644;0.0591
bearish_extrem_revIntensity_ratio_extrem <-> deltaTimestampOpeningSection1min;55.3492;0.0590
bull_imbalance_high_0 <-> bullish_combined_pressure;55.1740;0.0589
