Interaction;Value;Percentage_Contribution
perctBB <-> diffPriceClose_VA16PvaH;80.6823;2.5043
perct_VA21P <-> bearish_absorption_intensity_repeat_count;66.6274;2.0681
perct_VA11P <-> bull_imbalance_high_0;66.3742;2.0602
deltaTimestampOpeningSection5min <-> finished_auction_high;65.6089;2.0365
diffPriceCloseVWAP <-> price_volume_dynamic;64.1621;1.9915
naked_poc_dist_above <-> bull_imbalance_high_0;61.4290;1.9067
bearish_dsc_ask_bid_imbalance <-> diffHighPrice_0_4;58.9022;1.8283
diffPriceClose_VA16PvaH <-> finished_auction_high;56.8032;1.7631
diffPriceClose_VA11PvaH <-> bearish_dsc_ask_bid_imbalance;56.6060;1.7570
bullish_repeatAskBid_ratio <-> bandWidthBB;55.9587;1.7369
bearish_absorption_intensity_repeat_count <-> price_volume_dynamic;55.7798;1.7314
bandWidthBB <-> bearish_combined_pressure;54.8667;1.7030
bearish_absorption_intensity_repeat_count <-> bearish_dsc_ask_bid_delta_imbalance;52.9744;1.6443
vol_volatility_score <-> diffPriceCloseVWAP;52.7761;1.6381
cumDiffVolDeltaRatio <-> finished_auction_high;52.1945;1.6201
bullish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_0;47.5141;1.4748
perct_VA6P <-> bearish_dsc_ask_bid_delta_imbalance;45.8399;1.4228
bearish_absorption_intensity_repeat_count <-> bearish_market_context_score;45.2791;1.4054
bullish_repeatAskBid_ratio <-> vol_volatility_score;45.1261;1.4007
bullish_asc_ask_bid_delta_imbalance <-> bearish_dsc_ask_bid_imbalance;44.9095;1.3940
bearish_absorption_intensity_repeat_count <-> bullish_repeatAskBid_ratio;44.4818;1.3807
bearish_bid_score <-> perct_VA11P;44.4594;1.3800
diffPriceCloseVWAP <-> bearish_market_context_score;43.3591;1.3458
deltaTimestampOpeningSection5min <-> bearish_dsc_ask_bid_imbalance;43.0139;1.3351
diffVolCandle_0_1Ratio <-> bear_imbalance_high_3;41.5912;1.2910
cumDiffVolDeltaRatio <-> diffHighPrice_0_4;41.3412;1.2832
bullish_asc_ask_bid_delta_imbalance <-> perct_VA6P;41.1735;1.2780
diffVolCandle_0_1Ratio <-> naked_poc_dist_above;41.0658;1.2747
bear_imbalance_high_3 <-> bullish_ask_ratio;40.4146;1.2544
bullish_ask_ratio <-> bearish_repeatAskBid_ratio;38.4047;1.1921
bearish_bid_score <-> bearish_absorption_intensity_repeat_count;35.9521;1.1159
perctBB <-> perct_VA11P;35.1139;1.0899
bearish_absorption_intensity_repeat_count <-> naked_poc_dist_above;33.8609;1.0510
bear_imbalance_high_3 <-> price_volume_dynamic;33.8069;1.0493
perct_VA11P <-> diffVolCandle_0_1Ratio;32.6098;1.0122
bullish_asc_ask_bid_delta_imbalance <-> imbalance_score_low;32.3681;1.0047
perctBB <-> bearish_dsc_ask_bid_delta_imbalance;31.7597;0.9858
bullish_imnbScore_score <-> diffPriceClose_VA16PvaH;31.2388;0.9696
bearish_repeatAskBid_ratio <-> bear_imbalance_high_3;31.0318;0.9632
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA11PvaH;30.4751;0.9459
bullish_imnbScore_score <-> perct_VA11P;30.4366;0.9447
bullish_repeatAskBid_ratio <-> diffVolCandle_0_1Ratio;29.8360;0.9261
bullish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;29.2948;0.9093
bearish_market_context_score <-> diffPriceClose_VA16PvaH;28.3808;0.8809
bearish_repeatAskBid_ratio <-> price_volume_dynamic;28.2365;0.8764
naked_poc_dist_above <-> range_strength_5_23;28.0156;0.8696
range_strength_5_23 <-> bull_imbalance_high_0;27.8635;0.8649
bearish_absorption_intensity_repeat_count <-> bullish_ask_score;27.7947;0.8627
poc_diff_ratio_6P_16P <-> bullish_dsc_ask_bid_delta_imbalance;27.5513;0.8552
cumDiffVolDeltaRatio <-> perct_VA11P;27.2974;0.8473
bullish_repeatAskBid_ratio <-> bullish_ask_ratio;27.0394;0.8393
bearish_repeatAskBid_ratio <-> bearish_imnbScore_score;26.2702;0.8154
bear_imbalance_high_3 <-> bearish_dsc_ask_bid_imbalance;26.1323;0.8111
bearish_dsc_ask_bid_delta_imbalance <-> deltaTimestampOpeningSection5min;26.0837;0.8096
bullish_asc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;24.1949;0.7510
diffPriceCloseVWAP <-> bull_imbalance_high_0;23.9728;0.7441
deltaTimestampOpeningSection5min <-> bull_imbalance_high_0;23.3934;0.7261
bear_imbalance_high_3 <-> diffPriceCloseVWAP;23.1763;0.7194
bullish_repeatAskBid_ratio <-> perct_VA11P;22.9847;0.7134
bearish_repeatAskBid_ratio <-> diffHighPrice_0_4;22.6501;0.7030
deltaTimestampOpeningSection5min <-> bullish_imnbScore_score;22.5163;0.6989
diffPriceCloseVWAP <-> perctBB;22.0939;0.6858
VolPocVolCandleRatio <-> bearish_combined_pressure;22.0932;0.6858
bearish_absorption_intensity_repeat_count <-> vol_volatility_score;21.7191;0.6741
perct_VA11P <-> finished_auction_high;21.5682;0.6695
bullish_asc_ask_bid_delta_imbalance <-> bearish_market_context_score;21.5653;0.6694
bear_imbalance_high_3 <-> bearish_absorption_intensity_repeat_count;21.5296;0.6683
price_volume_dynamic <-> bearish_combined_pressure;21.3675;0.6632
bearish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_imbalance;21.0860;0.6545
price_volume_dynamic <-> bearish_dsc_ask_bid_delta_imbalance;20.9906;0.6515
bandWidthBB <-> bull_imbalance_high_0;20.8917;0.6485
bearish_imnbScore_score <-> diffPriceCloseVWAP;19.3937;0.6020
bearish_asc_dynamics <-> bearish_imnbScore_score;19.0932;0.5926
bear_imbalance_high_3 <-> vol_volatility_score;18.4743;0.5734
diffVolCandle_0_1Ratio <-> diffPriceClose_VA16PvaH;18.0856;0.5614
bullish_imnbScore_score <-> bearish_absorption_intensity_repeat_count;18.0161;0.5592
vol_volatility_score <-> price_volume_dynamic;17.9054;0.5558
bearish_market_context_score <-> perct_VA21P;17.6138;0.5467
poc_diff_ratio_6P_16P <-> bear_imbalance_high_3;17.3666;0.5390
bullish_imnbScore_score <-> range_strength_5_23;17.0036;0.5278
range_strength_5_23 <-> diffHighPrice_0_4;16.9298;0.5255
diffPriceClose_VA16PvaH <-> bearish_repeatAskBid_ratio;15.7385;0.4885
perctBB <-> bearish_asc_dynamics;14.5095;0.4504
bandWidthBB <-> diffPriceCloseVWAP;14.4533;0.4486
perct_VA11P <-> poc_diff_ratio_6P_16P;14.0783;0.4370
bearish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;13.9787;0.4339
bullish_repeatAskBid_ratio <-> cumDiffVolDeltaRatio;13.9612;0.4333
naked_poc_dist_above <-> bearish_bid_score;13.6176;0.4227
diffPriceCloseVWAP <-> bearish_dsc_ask_bid_imbalance;13.0596;0.4054
bandWidthBB <-> finished_auction_high;12.6704;0.3933
bearish_market_context_score <-> bearish_combined_pressure;12.3979;0.3848
bullish_repeatAskBid_ratio <-> range_strength_5_23;12.3504;0.3833
bullish_asc_ask_bid_delta_imbalance <-> perctBB;12.2266;0.3795
bear_imbalance_high_2 <-> deltaTimestampOpeningSection5min;11.5962;0.3599
bullish_dsc_ask_bid_delta_imbalance <-> diffPriceCloseVWAP;10.9624;0.3403
bull_imbalance_high_0 <-> bearish_absorption_intensity_repeat_count;10.8353;0.3363
bull_imbalance_high_0 <-> poc_diff_ratio_6P_16P;10.5574;0.3277
price_volume_dynamic <-> bullish_dsc_ask_bid_delta_imbalance;9.4695;0.2939
bearish_combined_pressure <-> bear_imbalance_high_3;9.0029;0.2794
bandWidthBB <-> bullish_ask_ratio;8.8811;0.2757
diffPriceCloseVWAP <-> perct_VA11P;8.6554;0.2687
perct_VA21P <-> range_strength_5_23;8.0135;0.2487
bear_imbalance_high_3 <-> diffHighPrice_0_4;7.9086;0.2455
perctBB <-> bearish_absorption_intensity_repeat_count;7.3683;0.2287
bearish_ask_abs_ratio_abv <-> bullish_repeatAskBid_ratio;7.1473;0.2218
bearish_market_context_score <-> bear_imbalance_high_3;7.0645;0.2193
naked_poc_dist_above <-> perct_VA21P;6.8845;0.2137
bearish_repeatAskBid_ratio <-> bearish_ask_abs_ratio_abv;6.5113;0.2021
perct_VA11P <-> bearish_market_context_score;6.4298;0.1996
bearish_dsc_ask_bid_delta_imbalance <-> bullish_asc_ask_bid_delta_imbalance;6.3058;0.1957
perct_VA11P <-> bearish_dsc_ask_bid_imbalance;5.9933;0.1860
diffHighPrice_0_4 <-> diffPriceCloseVWAP;5.7188;0.1775
bandWidthBB <-> bearish_repeatAskBid_ratio;5.4374;0.1688
bearish_combined_pressure <-> bearish_imnbScore_score;5.4181;0.1682
diffPriceClose_VA11PvaH <-> diffVolCandle_0_1Ratio;5.2218;0.1621
bearish_dsc_ask_bid_delta_imbalance <-> bandWidthBB;5.0625;0.1571
cumDiffVolDeltaRatio <-> diffPriceCloseVWAP;4.5734;0.1420
price_volume_dynamic <-> deltaTimestampOpeningSection5min;4.5266;0.1405
bullish_repeatAskBid_ratio <-> diffPriceClose_VA16PvaH;4.4522;0.1382
bullish_dsc_ask_bid_delta_imbalance <-> bullish_ask_ratio;4.4313;0.1375
bullish_asc_ask_bid_delta_imbalance <-> bearish_repeatAskBid_ratio;3.6139;0.1122
bearish_asc_dynamics <-> bearish_market_context_score;3.4424;0.1069
