feature;importance;importance_percentage;cumulative_importance_percentage
bearish_extrem_vs_rest_activity_extrem;-6.216546e-06;0.13044052;96.97237
bullish_bid_abs_ratio_blw;5.7679135e-06;0.12102695;97.09339
bull_imbalance_high_0;5.653839e-06;0.118633345;97.21203
bear_imbalance_high_2;5.5149967e-06;0.115720056;97.32775
imbalance_score_high;-5.4304464e-06;0.11394595;97.441696
poc_diff_ratio_6P_16P;-5.3853846e-06;0.11300043;97.554695
bearish_repeat_ticks_ratio_extrem;5.3042236e-06;0.11129745;97.66599
diffPriceClose_VA11PPoc;-5.2246373e-06;0.10962751;97.77562
bearish_dsc_ask_bid_imbalance;5.1952284e-06;0.10901042;97.88463
bear_imbalance_low_1;-5.1033594e-06;0.10708275;97.991714
cumDiffVolDeltaRatio;-5.0975154e-06;0.106960125;98.09867
bull_imbalance_low_1;5.037905e-06;0.10570933;98.204384
finished_auction_low;-4.883242e-06;0.10246407;98.30685
bearish_ask_bid_ratio;4.825075e-06;0.10124356;98.40809
atr;-4.6022133e-06;0.0965673;98.504654
bearish_bid_abs_ratio_abv;-4.125718e-06;0.0865691;98.591225
bandWidthBB;-3.9778424e-06;0.08346626;98.67469
bullish_asc_dynamics;3.9044057e-06;0.08192535;98.756615
market_regimeADX;-3.7166465e-06;0.07798564;98.8346
bullish_dsc_ask_bid_delta_imbalance;-3.5705352e-06;0.07491981;98.90952
deltaTimestampOpeningSection30min;-3.5012563e-06;0.073466145;98.98299
diffPriceCloseVWAPbyIndex;3.2676162e-06;0.06856372;99.05155
bear_imbalance_low_2;-2.8633335e-06;0.060080744;99.11163
bullish_bid_ratio;2.8467227e-06;0.059732202;99.171364
bear_imbalance_low_0;2.699358e-06;0.056640077;99.228004
overlap_ratio_VA_6P_21P;-2.5969614e-06;0.05449151;99.28249
vol_volatility_score;-2.5966858e-06;0.05448573;99.33698
bearish_continuation_vs_reversal_extrem;2.5003906e-06;0.052465186;99.38945
bullish_asc_ask_bid_imbalance;2.0809023e-06;0.04366315;99.43311
asymetrie_volume;-1.9132433e-06;0.040145196;99.47326
diffPriceClose_VA6PPoc;-1.8710356e-06;0.039259557;99.51252
bullish_ask_abs_ratio_blw;-1.7901369e-06;0.03756208;99.55008
diffPriceClose_VA11PvaL;1.6057031e-06;0.033692144;99.58377
bullish_reversal_force;1.5669938e-06;0.03287991;99.61665
range_strength_10_32;1.5396182e-06;0.032305498;99.64896
is_in_range_10_32;1.5379237e-06;0.03226994;99.68123
count_AbvBlw_asym_ratio;1.2644252e-06;0.026531177;99.707756
perct_VA11P;-1.2458204e-06;0.026140796;99.733894
ratio_delta_vol_VA11P;-1.1582244e-06;0.024302786;99.758194
extrem_ask_bid_imbalance_bearish_extrem;1.1539441e-06;0.024212975;99.78241
poc_diff_6P_11P;9.891808e-07;0.020755777;99.80317
bull_imbalance_low_3;8.918767e-07;0.018714067;99.821884
poc_diff_ratio_6P_21P;-7.677006e-07;0.016108505;99.83799
bullish_abs_diff_blw;-7.6606915e-07;0.016074272;99.854065
count_blw_tot_ratio;-7.305023e-07;0.015327981;99.86939
bullish_imbalance_evolution;-6.6527656e-07;0.013959363;99.883354
diffPriceClosePoc_0_4;6.495926e-07;0.01363027;99.89699
overlap_ratio_VA_6P_16P;-6.392227e-07;0.0134126805;99.9104
bullish_absorption_ratio;-5.8171645e-07;0.0122060375;99.92261
overlap_ratio_VA_6P_11P;-5.7346426e-07;0.012032884;99.93464
diffLowPrice_0_4;-5.551487e-07;0.011648572;99.94629
overlap_ratio_VA_11P_21P;-4.047553e-07;0.008492898;99.95478
poc_diff_ratio_6P_11P;-3.99775e-07;0.008388397;99.963165
ratioDeltaAbv;-3.6721636e-07;0.007705226;99.97087
extrem_asc_ratio_bearish_extrem;3.0750954e-07;0.00645241;99.977325
bearish_abs_diff_abv;2.856835e-07;0.0059944387;99.98332
bearish_ask_ratio;2.403503e-07;0.005043221;99.988365
bullish_bid_score;2.2567573e-07;0.004735308;99.9931
bearish_asc_ask_bid_imbalance;-1.3320155e-07;0.002794941;99.995895
poc_diff_ratio_11P_21P;9.886508e-08;0.0020744656;99.99797
bearish_ask_score;9.7010904e-08;0.00203556;100.00001
finished_auction_high;0.0;0.0;100.00001
bullish_extrem_revIntensity_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_zone_volume_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_pressure_ratio_extrem;0.0;0.0;100.00001
bullish_repeat_ticks_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_abs_ratio_extrem;0.0;0.0;100.00001
bullish_volume_quality;0.0;0.0;100.00001
bullish_extreme_volume_score;0.0;0.0;100.00001
bullish_extrem_vs_rest_activity_extrem;0.0;0.0;100.00001
bullish_continuation_vs_reversal_extrem;0.0;0.0;100.00001
ratioDeltaBlw;0.0;0.0;100.00001
bullish_ask_ratio;0.0;0.0;100.00001
