Interaction;Value;Percentage_Contribution
bearish_asc_dsc_ratio <-> diffHighPrice_0_4;22.0645;0.8757
bearish_combined_pressure <-> bearish_absorption_score;19.9245;0.7908
bearish_extrem_abs_ratio_extrem <-> diffPriceClosePoc_0_4;19.7903;0.7855
bearish_continuation_vs_reversal_extrem <-> diffHighPrice_0_4;19.1671;0.7607
diffPriceClose_VA11PvaL <-> perct_VA16P;18.8804;0.7494
ratio_delta_vol_VA21P <-> perct_VA16P;18.8188;0.7469
extrem_asc_dsc_comparison_bearish_extrem <-> bullish_dsc_dynamics;18.3320;0.7276
extrem_asc_dsc_comparison_bearish_extrem <-> diffHighPrice_0_2;17.7694;0.7053
bullish_dsc_ask_bid_delta_imbalance <-> extrem_asc_dsc_comparison_bearish_extrem;17.6719;0.7014
bearish_extrem_abs_ratio_extrem <-> perct_VA16P;17.2232;0.6836
diffLowPrice_0_4 <-> absorption_intensity_repeat_bearish_vol;17.0793;0.6779
bearish_ask_abs_ratio_abv <-> bearish_dsc_ask_bid_delta_imbalance;16.9713;0.6736
diffLowPrice_0_4 <-> perct_VA16P;16.6260;0.6599
diffPriceClose_VA16PPoc <-> diffLowPrice_0_4;16.6163;0.6595
bearish_extrem_abs_ratio_extrem <-> extrem_asc_dsc_comparison_bearish_extrem;16.1503;0.6410
bullish_absorption_intensity_repeat_count <-> absorption_intensity_repeat_bearish_vol;15.9816;0.6343
bullish_repeatAskBid_ratio <-> bullish_asc_dsc_ratio;15.8407;0.6287
bearish_dsc_ask_bid_delta_imbalance <-> perct_VA11P;15.6851;0.6225
bearish_combined_pressure <-> bullish_asc_ask_bid_delta_imbalance;15.5050;0.6154
bearish_bid_abs_ratio_abv <-> bullish_absorption_intensity_repeat_count;14.9570;0.5936
bandWidthBB <-> diffPriceClosePoc_0_4;14.9484;0.5933
imbalance_score_low <-> bearish_market_context_score;14.8792;0.5906
absorption_intensity_repeat_bearish_vol <-> perct_VA11P;14.6744;0.5824
bear_imbalance_low_0 <-> VolCandleMeanxRatio;14.4887;0.5751
ratio_delta_vol_VA11P <-> bearish_market_context_score;14.1726;0.5625
bullish_absorption_intensity_repeat_count <-> diffPriceClose_VA11PPoc;13.9464;0.5535
bearish_extrem_abs_ratio_extrem <-> market_regimeADX;13.8697;0.5505
bearish_dsc_ask_bid_delta_imbalance <-> poc_diff_ratio_6P_21P;13.5202;0.5366
bearish_imnbScore_score <-> bull_imbalance_high_0;13.1905;0.5235
diffVolDelta_0_1Ratio <-> bullish_absorption_intensity_repeat_count;13.1528;0.5220
overlap_ratio_VA_6P_11P <-> perct_VA16P;13.1388;0.5215
bullish_absorption_ratio <-> bearish_extrem_abs_ratio_extrem;13.1295;0.5211
range_strength_10_32 <-> bearish_extrem_abs_ratio_extrem;13.0145;0.5165
bullish_bid_score <-> perct_VA11P;12.9923;0.5157
bear_imbalance_high_2 <-> bearish_extrem_abs_ratio_extrem;12.9408;0.5136
bearish_dsc_ask_bid_delta_imbalance <-> bullish_asc_ask_bid_delta_imbalance;12.5040;0.4963
bearish_extrem_abs_ratio_extrem <-> bearish_repeatAskBid_ratio;12.4871;0.4956
bearish_extrem_pressure_ratio_extrem <-> imbalance_score_high;12.4662;0.4948
bearish_absorption_intensity_repeat_count <-> extrem_asc_dsc_comparison_bearish_extrem;12.4489;0.4941
