Interaction;Value
bearish_activity_volume_score <-> deltaTimestampOpeningSection5min;8.0589
bearish_extrem_abs_ratio_extrem <-> bearish_repeatAskBid_ratio;7.6467
bearish_activity_volume_score <-> deltaTimestampOpeningSection15min;7.2313
diffVolDelta_0_1Ratio <-> diffLowPrice_0_1;6.4144
deltaTimestampOpeningSection5min <-> deltaTimestampOpeningSection15min;6.4016
bearish_repeatAskBid_ratio <-> bearish_activity_volume_score;6.2071
bearish_repeatAskBid_ratio <-> diffPriceCloseVWAP;6.0137
bearish_repeatAskBid_ratio <-> bearish_market_context_score;5.5885
bearish_extrem_revIntensity_ratio_extrem <-> bearish_volume_quality;5.5757
deltaTimestampOpeningSection1min <-> bearish_activity_volume_score;5.5190
bearish_extrem_abs_ratio_extrem <-> bearish_volume_quality;5.2716
VolCandleMeanxRatio <-> bearish_market_momentum;5.2691
diffPriceClosePoc_0_2 <-> diffLowPrice_0_1;5.0188
bearish_repeat_ticks_ratio_extrem <-> bearish_market_context_score;4.9390
bearish_volume_quality <-> deltaTimestampOpeningSection15min;4.7070
bull_imbalance_high_0 <-> bearish_dsc_ask_bid_delta_imbalance;4.5778
bullish_activity_volume_score <-> bearish_extreme_volume_score;4.3830
diffVolCandle_0_1Ratio <-> diffLowPrice_0_1;4.3723
diffLowPrice_0_1 <-> range_strength_5_23;4.2496
bearish_repeatAskBid_ratio <-> diffLowPrice_0_3;4.2148
bullish_absorption_score <-> bullish_absorption_intensity_repeat_count;4.1970
bearish_reversal_force <-> bullish_repeatAskBid_ratio;4.0421
diffVolDelta_0_1Ratio <-> bearish_volume_quality;3.9362
bearish_volume_quality <-> bearish_market_context_score;3.9063
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_2;3.8545
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_5;3.7248
perct_VA16P <-> diffPriceClosePoc_0_2;3.7154
diffHighPrice_0_1 <-> perct_VA16P;3.6602
bullish_absorption_score <-> bullish_ask_ratio;3.6531
diffPriceClosePoc_0_2 <-> perctBB;3.4659
bullish_market_momentum <-> bearish_repeatAskBid_ratio;3.4526
bearish_repeatAskBid_ratio <-> diffLowPrice_0_2;3.4367
bearish_extreme_volume_score <-> bearish_market_context_score;3.3458
perct_VA21P <-> bearish_repeatAskBid_ratio;3.3153
diffLowPrice_0_1 <-> diffHighPrice_0_2;3.2889
bullish_absorption_score <-> bearish_extrem_abs_ratio_extrem;3.2560
diffHighPrice_0_2 <-> diffLowPrice_0_2;3.2207
bullish_absorption_score <-> bearish_market_context_score;3.1405
diffLowPrice_0_1 <-> diffHighPrice_0_1;3.1169
bearish_market_context_score <-> bullish_market_context_score;3.1083
