Feature;Global_Mean;Selected_Mean;Difference
diffHighPrice_0_4;1.4698985083807474;1.470653846153846;0.0007553377730986632
diffPriceClosePoc_0_0;-0.27491157927110565;-0.2748846153846154;2.6963886490261046e-05
bullish_asc_ask_bid_imbalance;0.41190827638896177;0.4119267229813187;1.8446592356946567e-05
bearish_ask_score;-0.01551531304533459;-0.015486952848843162;2.836019649142714e-05
bullish_ask_bid_ratio;0.9053726454878324;0.9046865106997375;-0.000686134788094872
bearish_abs_diff_abv;0.1299539327420743;0.12983790509412999;-0.00011602764794432785
imbalance_score_high;0.08698930507833653;0.087197031811887;0.00020772673355046178
naked_poc_dist_above;-2.343771234428086;-2.3443235893949694;-0.0005523549668833283
bearish_dsc_dynamics;0.30575528600033547;0.30575847738798273;3.1913876472611236e-06
vol_volatility_score;2.4395811099775044;2.4400769613418207;0.000495851364316291
bullish_repeatAskBid_ratio;0.8728764212782884;0.872879777015839;3.355737550614357e-06
bearish_repeatAskBid_ratio;0.9113175572582697;0.9114248185191589;0.00010726126088922427
perct_VA16P;0.587782471447286;0.5881951454575629;0.0004126740102768922
bearish_combined_pressure;-0.031158791618725014;-0.031125038495274825;3.375312345018852e-05
perctBB;0.6897237764108873;0.6898314489230769;0.00010767251218957163
perct_VA21P;0.5465764757922118;0.5469717764093696;0.00039530061715775666
perct_VA11P;0.5993638649099566;0.5996918610907318;0.0003279961807751697
bearish_dsc_ask_bid_delta_imbalance;-0.1128505321251898;-0.1128768487641999;-2.631663901009329e-05
diffPriceClose_VA21PvaH;-0.030319563522992986;-0.029861219398097615;0.00045834412489537124
bearish_market_context_score;-0.1262346380861703;-0.12621750092858486;1.7137157585445095e-05
