feature;importance;importance_percentage;cumulative_importance_percentage
absorption_intensity_repeat_bullish_vol;0.0;0.0;100.00001
count_abv_tot_ratio;0.0;0.0;100.00001
count_AbvBlw_asym_ratio;0.0;0.0;100.00001
bearish_asc_ask_bid_imbalance;0.0;0.0;100.00001
bullish_asc_dynamics;0.0;0.0;100.00001
bullish_absorption_intensity_repeat_count;0.0;0.0;100.00001
bullish_abs_diff_blw;0.0;0.0;100.00001
deltaTimestampOpeningSection1min;0.0;0.0;100.00001
bullish_bid_abs_ratio_blw;0.0;0.0;100.00001
poc_diff_ratio_6P_11P;0.0;0.0;100.00001
overlap_ratio_VA_6P_16P;0.0;0.0;100.00001
overlap_ratio_VA_6P_11P;0.0;0.0;100.00001
diffPriceClose_VA21PvaL;0.0;0.0;100.00001
diffPriceClose_VA16PvaH;0.0;0.0;100.00001
diffPriceClose_VA16PPoc;0.0;0.0;100.00001
diffPriceClose_VA11PvaL;0.0;0.0;100.00001
diffPriceClose_VA6PvaL;0.0;0.0;100.00001
diffPriceClose_VA6PvaH;0.0;0.0;100.00001
diffPriceClose_VA6PPoc;0.0;0.0;100.00001
ratio_delta_vol_VA6P;0.0;0.0;100.00001
diffPriceCloseVWAPbyIndex;0.0;0.0;100.00001
diffLowPrice_0_1;0.0;0.0;100.00001
diffHighPrice_0_1;0.0;0.0;100.00001
diffPriceClosePoc_0_5;0.0;0.0;100.00001
candleSizeTicks;0.0;0.0;100.00001
overlap_ratio_VA_11P_21P;0.0;0.0;100.00001
poc_diff_ratio_6P_16P;0.0;0.0;100.00001
bearish_ask_abs_ratio_abv;0.0;0.0;100.00001
poc_diff_ratio_6P_21P;0.0;0.0;100.00001
finished_auction_low;0.0;0.0;100.00001
finished_auction_high;0.0;0.0;100.00001
bear_imbalance_low_1;0.0;0.0;100.00001
bull_imbalance_low_1;0.0;0.0;100.00001
bullish_ask_score;0.0;0.0;100.00001
bearish_imnbScore_score;0.0;0.0;100.00001
bullish_bid_ratio;0.0;0.0;100.00001
bearish_bid_ratio;0.0;0.0;100.00001
VolBlw_vol_ratio;0.0;0.0;100.00001
ratioDeltaBlw;0.0;0.0;100.00001
bullish_reversal_force;0.0;0.0;100.00001
bearish_reversal_force;0.0;0.0;100.00001
is_in_range_5_23;0.0;0.0;100.00001
is_in_range_10_32;0.0;0.0;100.00001
poc_diff_11P_21P;0.0;0.0;100.00001
naked_poc_dist_below;0.0;0.0;100.00001
