feature;importance;importance_percentage;cumulative_importance_percentage
bearish_dsc_ask_bid_delta_imbalance;-0.013295097;2.5685925;2.5685925
perct_VA16P;-0.010507539;2.0300405;4.598633
bearish_absorption_intensity_repeat_count;-0.010051917;1.942015;6.540648
perct_VA11P;-0.009590403;1.8528512;8.393499
diffPriceCloseVWAP;-0.008326042;1.6085787;10.002078
bearish_extrem_abs_ratio_extrem;-0.0081707435;1.5785751;11.580653
bearish_repeatAskBid_ratio;-0.007020816;1.356411;12.937064
bearish_extrem_revIntensity_ratio_extrem;0.0066560605;1.2859406;14.223005
diffVolCandle_0_1Ratio;-0.0063193524;1.2208892;15.443894
bearish_ask_ratio;-0.0060016;1.1595;16.603394
vol_volatility_score;-0.0059587965;1.1512303;17.754623
bullish_absorption_score;0.0059009283;1.1400503;18.894674
ratio_delta_vol_VA21P;-0.005832029;1.1267391;20.021414
perct_VA6P;0.0058241263;1.1252123;21.146626
diffHighPrice_0_4;0.005780645;1.1168118;22.263437
deltaTimestampOpeningSection5min;-0.0057744836;1.1156213;23.379059
bearish_abs_diff_abv;0.0055171675;1.0659083;24.444967
diffPriceClosePoc_0_3;0.0053714714;1.03776;25.482727
bear_imbalance_high_3;0.005281501;1.0203779;26.503105
bull_imbalance_high_0;-0.005188562;1.0024222;27.505527
bearish_imnbScore_score;0.0051270095;0.9905304;28.496058
bearish_repeat_ticks_ratio_extrem;-0.0050985767;0.98503715;29.481094
cumDiffVolDeltaRatio;-0.0050336923;0.97250164;30.453596
naked_poc_dist_above;-0.005031944;0.97216386;31.42576
diffPriceClosePoc_0_4;-0.005027091;0.9712263;32.396988
bearish_continuation_vs_reversal_extrem;0.0050044954;0.96686083;33.36385
extrem_asc_dsc_comparison_bearish_extrem;0.004937464;0.95391047;34.31776
price_volume_dynamic;-0.004937085;0.9538372;35.2716
diffVolDelta_0_1Ratio;-0.00474515;0.91675574;36.188354
bearish_absorption_score;0.0047335615;0.91451687;37.10287
bearish_asc_ask_bid_delta_imbalance;-0.004669732;0.902185;38.005054
bull_imbalance_low_1;0.004661459;0.9005868;38.90564
bear_imbalance_high_1;0.004635819;0.8956331;39.801273
bullish_bid_abs_ratio_blw;-0.0045931935;0.88739794;40.68867
bearish_extrem_pressure_ratio_extrem;0.0045623304;0.8814353;41.570107
bearish_ask_score;-0.004548673;0.87879664;42.448902
bullish_imnbScore_score;-0.0045157187;0.8724299;43.32133
bearish_extrem_dsc_ratio_extrem;0.004494082;0.8682498;44.18958
bull_imbalance_high_2;-0.0043749884;0.84524107;45.03482
poc_diff_ratio_6P_16P;-0.004315876;0.83382064;45.86864
bull_imbalance_low_2;-0.0042665815;0.824297;46.69294
bearish_combined_pressure;0.004232437;0.81770027;47.51064
market_regimeADX;-0.0042183585;0.81498045;48.32562
bearish_absorption_ratio;0.004152024;0.80216473;49.127785
deltaTimestampOpeningSection1min;-0.004147643;0.80131835;49.929104
