Feature;Global_Mean;Selected_Mean;Difference
pocDeltaPocVolRatio;0.05923722654505491;0.05918456580317166;-5.266074188324532e-05
deltaTimestampOpeningSection5min;972.5766828397747;972.4087581041806;-0.16792473559405607
vol_volatility_score;2.11480391395588;2.1191273095957786;0.004323395639898475
bearish_absorption_score;1.011947730353988;1.0140496528369711;0.0021019224829830208
diffHighPrice_0_1;1.323978026880821;1.327492734182875;0.0035147073020540542
bearish_extreme_volume_score;0.6678570826193366;0.6692030842678991;0.001346001648562467
bullish_activity_volume_score;8.631474150645765;8.636500593915676;0.00502644326991053
bullish_repeatAskBid_ratio;0.8854655420595596;0.8857256175450893;0.00026007548552964277
diffPriceCloseVWAP;1.5054341308348667;1.5018406494522691;-0.0035934813825975187
deltaTimestampOpeningSection15min;967.96595281914;967.7900737759893;-0.17587904315075775
bearish_dsc_ask_bid_delta_imbalance;-0.10392025714020628;-0.10362012469491204;0.00030013244529424055
diffHighPrice_0_2;0.8939685460933579;0.8983204784261122;0.004351932332754327
diffPriceClosePoc_0_2;0.9356352127600246;0.9402735859602057;0.004638373200181123
diffLowPrice_0_1;0.6618077630918521;0.6637743125419182;0.001966549450066135
bullish_absorption_score;0.9598349175314661;0.9603693708472065;0.0005344533157404241
bearish_extrem_abs_ratio_extrem;2.711433888414824;2.71162767196129;0.00019378354646626406
bearish_activity_volume_score;8.151065496991329;8.168736732232313;0.017671235240984018
bearish_repeatAskBid_ratio;0.9225814035080262;0.9234436126159546;0.0008622091079284466
bearish_market_context_score;-0.1020281459060951;-0.10221495585537728;-0.00018680994928217676
bearish_volume_quality;103.8201409693877;104.01769023401843;0.1975492646307373
