feature;importance;importance_percentage;cumulative_importance_percentage
bearish_repeatAskBid_ratio;-0.008712404;5.2443004;5.2443004
bearish_market_context_score;-0.0070963195;4.271522;9.515822
bearish_volume_quality;-0.006676537;4.018841;13.534663
diffPriceCloseVWAP;-0.0040512662;2.4385984;15.973262
bullish_repeatAskBid_ratio;0.0040211948;2.4204974;18.393759
bearish_dsc_ask_bid_delta_imbalance;-0.0038341028;2.3078802;20.70164
VolCandleMeanxRatio;-0.0036421043;2.1923096;22.89395
bearish_extrem_abs_ratio_extrem;0.003418322;2.0576072;24.951557
diffLowPrice_0_1;0.0033615206;2.0234163;26.974974
bearish_activity_volume_score;-0.0032993562;1.9859976;28.960972
bullish_absorption_score;-0.00304255;1.831417;30.792389
deltaTimestampOpeningSection1min;-0.0027130148;1.6330583;32.425446
price_volume_dynamic;0.0026282223;1.5820186;34.007465
bearish_market_momentum;0.0026033192;1.5670286;35.574493
bearish_extrem_revIntensity_ratio_extrem;0.0020920574;1.2592824;36.833775
bearish_ask_score;0.001895292;1.1408423;37.974617
deltaTimestampOpeningSection5min;0.0018658625;1.1231277;39.097744
perct_VA21P;-0.0018554643;1.1168686;40.21461
bearish_combined_pressure;0.0017886512;1.0766516;41.291264
perct_VA6P;-0.0017729704;1.0672127;42.358475
bandWidthBB;-0.0017347721;1.0442199;43.402695
extrem_asc_dsc_comparison_bearish_extrem;-0.0017237946;1.0376121;44.440308
ratio_delta_vol_VA21P;-0.0017218065;1.0364153;45.476723
diffVolCandle_0_1Ratio;-0.0015940827;0.95953393;46.436256
poc_diff_ratio_6P_16P;-0.001593364;0.95910144;47.39536
diffHighPrice_0_3;0.0015776112;0.9496192;48.34498
overlap_ratio_VA_6P_16P;0.0015755891;0.948402;49.29338
bearish_extreme_volume_score;0.0014551469;0.87590367;50.169285
diffPriceClose_VA6PvaL;-0.0014516605;0.8738051;51.04309
bear_imbalance_low_0;0.0014037404;0.8449603;51.88805
perct_VA16P;-0.0013835758;0.83282256;52.72087
market_regimeADX;0.001296914;0.7806577;53.50153
bullish_ask_score;-0.0012849513;0.773457;54.274986
bearish_repeat_ticks_ratio_extrem;-0.0012756586;0.7678634;55.04285
diffPriceClose_VA16PvaH;0.0012441839;0.74891764;55.791767
pocDeltaPocVolRatio;0.0011963784;0.7201419;56.51191
perct_VA11P;-0.0011929467;0.7180762;57.229984
bearish_imnbScore_score;0.0011902449;0.7164499;57.946434
diffVolDelta_0_1Ratio;-0.0011824139;0.7117362;58.65817
range_strength_5_23;0.0011742442;0.7068186;59.364986
ratio_delta_vol_VA16P;-0.0011159143;0.67170775;60.036694
ratio_delta_vol_VA11P;-0.0011146279;0.6709334;60.707626
poc_diff_ratio_6P_21P;-0.0010919322;0.65727204;61.3649
extrem_asc_ratio_bearish_extrem;0.0010903751;0.6563348;62.021233
bullish_activity_volume_score;-0.0010858456;0.6536084;62.674843
bull_imbalance_high_0;-0.0010819184;0.6512444;63.326088
bull_imbalance_high_2;0.0010575093;0.63655174;63.96264
imbalance_score_low;-0.0010053378;0.6051479;64.56779
overlap_ratio_VA_6P_21P;0.0010052162;0.60507464;65.17286
bullish_dsc_ask_bid_delta_imbalance;-0.0009782788;0.58886015;65.76172
bearish_extrem_zone_volume_ratio_extrem;0.00092790346;0.5585374;66.32026
