feature;importance;importance_percentage;cumulative_importance_percentage
bearish_dsc_ask_bid_delta_imbalance;-0.01478308;5.007438;5.007438
bearish_absorption_intensity_repeat_count;0.013847345;4.6904783;9.697916
perct_VA11P;-0.011662604;3.9504464;13.648362
diffHighPrice_0_4;-0.010417739;3.5287764;17.17714
diffPriceCloseVWAP;-0.009444718;3.1991873;20.376328
perct_VA21P;0.008038173;2.7227516;23.09908
bearish_market_context_score;0.007206732;2.4411194;25.5402
naked_poc_dist_above;-0.006943684;2.3520176;27.892218
bullish_asc_ask_bid_delta_imbalance;0.0066567753;2.254834;30.14705
range_strength_5_23;-0.00628766;2.1298044;32.276855
diffVolCandle_0_1Ratio;-0.006257726;2.119665;34.39652
bull_imbalance_high_0;-0.0061218287;2.0736325;36.47015
bearish_repeatAskBid_ratio;-0.0058884304;1.9945743;38.464725
bullish_dsc_ask_bid_delta_imbalance;0.0058723777;1.9891367;40.45386
deltaTimestampOpeningSection5min;-0.0058219386;1.9720515;42.42591
perct_VA6P;-0.0055510993;1.8803109;44.30622
bearish_asc_dynamics;-0.005521968;1.8704433;46.176666
bullish_imnbScore_score;-0.0053988313;1.8287334;48.0054
bullish_repeatAskBid_ratio;-0.005301124;1.7956372;49.80104
diffPriceClose_VA11PvaH;-0.0051941606;1.7594059;51.560448
finished_auction_high;-0.004713997;1.5967611;53.157207
vol_volatility_score;-0.0047092177;1.5951422;54.75235
VolPocVolCandleRatio;0.0046287817;1.5678962;56.320248
bearish_combined_pressure;-0.004576879;1.5503155;57.870564
bear_imbalance_high_3;0.0045590173;1.5442652;59.41483
diffPriceClose_VA16PvaH;0.0045096963;1.5275588;60.942387
bandWidthBB;0.004473759;1.5153857;62.45777
bearish_bid_score;-0.0040926435;1.3862915;63.844063
bearish_imnbScore_score;-0.004082332;1.3827987;65.22686
bullish_ask_score;-0.0039571747;1.3404045;66.56726
cumDiffVolDeltaRatio;-0.003873917;1.3122028;67.87946
bullish_ask_ratio;0.003830646;1.2975457;69.17701
bearish_ask_abs_ratio_abv;-0.003806556;1.2893858;70.46639
price_volume_dynamic;-0.0036400768;1.2329947;71.69939
poc_diff_ratio_6P_16P;-0.0036394293;1.2327753;72.93216
perctBB;0.0035918665;1.2166644;74.14883
bear_imbalance_high_2;-0.0034993882;1.1853395;75.33417
imbalance_score_low;0.0034153608;1.1568772;76.49104
bearish_dsc_ask_bid_imbalance;0.0034043419;1.1531447;77.64419
diffPriceClose_VA11PvaL;-0.0032466832;1.0997413;78.74393
VolCandleMeanxRatio;-0.0031377256;1.0628345;79.80676
bearish_absorption_score;-0.0030620063;1.0371861;80.84395
diffPriceClosePoc_0_4;-0.003041905;1.0303773;81.87433
ratio_delta_vol_VA11P;-0.002742877;0.92908823;82.80341
ratio_delta_vol_VA16P;-0.0026950534;0.9128891;83.7163
bear_imbalance_high_1;-0.0026757196;0.90634024;84.62264
bullish_combined_pressure;0.0026448253;0.8958754;85.51852
diffVolDelta_0_1Ratio;0.0026383868;0.8936945;86.41221
bullish_imbalance_evolution;-0.0025177996;0.8528483;87.26506
overlap_ratio_VA_6P_11P;-0.0024171358;0.81875074;88.08381
bullish_asc_dsc_ratio;-0.0024026216;0.81383437;88.897644
diffPriceClose_VA21PvaL;-0.002394065;0.810936;89.70858
overlap_ratio_VA_11P_21P;-0.0023847779;0.80779016;90.51637
overlap_ratio_VA_6P_16P;0.0022108343;0.74887073;91.26524
pocDeltaPocVolRatio;0.0020333673;0.6887577;91.954
bearish_bid_abs_ratio_abv;0.0020184137;0.6836925;92.637695
ratio_delta_vol_VA21P;0.0019871215;0.673093;93.31079
bearish_ask_score;-0.0018879517;0.63950145;93.950294
bearish_asc_ask_bid_delta_imbalance;-0.0018788456;0.636417;94.58671
bullish_absorption_score;-0.0017221211;0.58333004;95.17004
bearish_ask_bid_ratio;-0.0016923556;0.5732476;95.743286
bullish_market_context_score;-0.0015716706;0.5323683;96.27566
bull_imbalance_low_3;0.0014768403;0.50024664;96.7759
bear_imbalance_low_1;-0.001349879;0.45724133;97.23315
market_regimeADX;-0.0011699599;0.39629778;97.62945
imbalance_score_high;-0.0011348892;0.38441834;98.01386
bear_imbalance_low_2;0.0011111203;0.37636718;98.39023
bearish_absorption_ratio;-0.0008001987;0.2710494;98.66128
diffPriceClose_VA21PPoc;-0.00073081546;0.2475474;98.90883
ratio_delta_vol_VA6P;-0.0007091528;0.24020965;99.14904
overlap_ratio_VA_6P_21P;0.0005427156;0.18383278;99.33287
bearish_imbalance_evolution;-0.0005382276;0.18231258;99.51518
bull_imbalance_high_1;0.0004896226;0.16584872;99.68103
bullish_dsc_dynamics;-0.00044212156;0.1497588;99.83079
bull_imbalance_low_2;0.00037433815;0.12679869;99.95759
diffLowPrice_0_5;0.00012515954;0.042394996;99.999985
deltaTimestampOpeningSection1min;0.0;0.0;99.999985
diffHighPrice_0_3;0.0;0.0;99.999985
