true_label;predicted_label;prediction_probability;deltaTimestampOpeningSection1min;candleSizeTicks;diffPriceClosePoc_0_0;diffPriceClosePoc_0_1;diffPriceClosePoc_0_2;diffPriceClosePoc_0_3;diffPriceClosePoc_0_4;diffPriceClosePoc_0_5;diffHighPrice_0_1;diffHighPrice_0_2;diffHighPrice_0_3;diffHighPrice_0_4;diffHighPrice_0_5;diffLowPrice_0_1;diffLowPrice_0_2;diffLowPrice_0_3;diffLowPrice_0_4;diffLowPrice_0_5;diffPriceCloseVWAP;diffPriceCloseVWAPbyIndex;atr;bandWidthBB;perctBB;perct_VA6P;ratio_delta_vol_VA6P;diffPriceClose_VA6PPoc;diffPriceClose_VA6PvaH;diffPriceClose_VA6PvaL;perct_VA11P;ratio_delta_vol_VA11P;diffPriceClose_VA11PPoc;diffPriceClose_VA11PvaH;diffPriceClose_VA11PvaL;perct_VA16P;ratio_delta_vol_VA16P;diffPriceClose_VA16PPoc;diffPriceClose_VA16PvaH;diffPriceClose_VA16PvaL;perct_VA21P;ratio_delta_vol_VA21P;diffPriceClose_VA21PPoc;diffPriceClose_VA21PvaH;diffPriceClose_VA21PvaL;overlap_ratio_VA_6P_11P;overlap_ratio_VA_6P_16P;overlap_ratio_VA_6P_21P;overlap_ratio_VA_11P_21P;poc_diff_6P_11P;poc_diff_ratio_6P_11P;poc_diff_6P_16P;poc_diff_ratio_6P_16P;poc_diff_6P_21P;poc_diff_ratio_6P_21P;poc_diff_11P_21P;poc_diff_ratio_11P_21P;market_regimeADX;range_strength_10_32;range_strength_5_23;is_in_range_10_32;is_in_range_5_23;bearish_reversal_force;bullish_reversal_force;bearish_ask_bid_ratio;bullish_ask_bid_ratio;ratioDeltaBlw;ratioDeltaAbv;diffVolCandle_0_1Ratio;diffVolDelta_0_1Ratio;cumDiffVolDeltaRatio;VolPocVolCandleRatio;pocDeltaPocVolRatio;VolAbv_vol_ratio;VolBlw_vol_ratio;asymetrie_volume;VolCandleMeanxRatio;bearish_ask_ratio;bearish_bid_ratio;bullish_ask_ratio;bullish_bid_ratio;bearish_ask_score;bearish_bid_score;bearish_imnbScore_score;bullish_ask_score;bullish_bid_score;bullish_imnbScore_score;bull_imbalance_low_1;bull_imbalance_low_2;bull_imbalance_low_3;bull_imbalance_high_0;bull_imbalance_high_1;bull_imbalance_high_2;bear_imbalance_low_0;bear_imbalance_low_1;bear_imbalance_low_2;bear_imbalance_high_1;bear_imbalance_high_2;bear_imbalance_high_3;imbalance_score_low;imbalance_score_high;finished_auction_high;finished_auction_low;bearish_ask_abs_ratio_abv;bearish_bid_abs_ratio_abv;bearish_abs_diff_abv;bullish_ask_abs_ratio_blw;bullish_bid_abs_ratio_blw;bullish_abs_diff_blw;bearish_askBigStand_abs_ratio_abv;bearish_bidBigStand_abs_ratio_abv;bearish_bigStand_abs_diff_abv;bullish_askBigStand_abs_ratio_blw;bullish_bidBigStand_abs_ratio_blw;bullish_bigStand_abs_diff_blw;bearish_extrem_revIntensity_ratio_extrem;bullish_extrem_revIntensity_ratio_extrem;bearish_extrem_zone_volume_ratio_extrem;bullish_extrem_zone_volume_ratio_extrem;bearish_extrem_pressure_ratio_extrem;bullish_extrem_pressure_ratio_extrem;bearish_extrem_abs_ratio_extrem;bullish_extrem_abs_ratio_extrem;bearish_extrem_vs_rest_activity_extrem;bullish_extrem_vs_rest_activity_extrem;bearish_continuation_vs_reversal_extrem;bullish_continuation_vs_reversal_extrem;bearish_repeat_ticks_ratio_extrem;bullish_repeat_ticks_ratio_extrem;bearish_big_trade_ratio_extrem;bearish_big_trade_imbalance_extrem;bullish_big_trade_ratio_extrem;bullish_big_trade_imbalance_extrem;bearish_asc_dsc_ratio;bearish_asc_dynamics;bearish_dsc_dynamics;bullish_asc_dsc_ratio;bullish_asc_dynamics;bullish_dsc_dynamics;bearish_asc_ask_bid_imbalance;bearish_dsc_ask_bid_imbalance;bearish_imbalance_evolution;bearish_asc_ask_bid_delta_imbalance;bearish_dsc_ask_bid_delta_imbalance;bullish_asc_ask_bid_imbalance;bullish_dsc_ask_bid_imbalance;bullish_imbalance_evolution;bullish_asc_ask_bid_delta_imbalance;bullish_dsc_ask_bid_delta_imbalance;extrem_asc_ratio_bearish_extrem;bearish_extrem_dsc_ratio_extrem;extrem_zone_significance_bearish_extrem;extrem_ask_bid_imbalance_bearish_extrem;extrem_asc_dsc_comparison_bearish_extrem;extrem_asc_ratio_bullish_extrem;extrem_dsc_ratio_bullish_extrem;extrem_zone_significance_bullish_extrem;extrem_ask_bid_imbalance_bullish;extrem_asc_dsc_comparison_bullish_extrem;bearish_absorption_ratio;bullish_absorption_ratio;bearish_big_trade_ratio2_extrem;bullish_big_trade_ratio2_extrem;absorption_intensity_repeat_bearish_vol;bearish_absorption_intensity_repeat_count;bearish_repeatAskBid_ratio;absorption_intensity_repeat_bullish_vol;bullish_absorption_intensity_repeat_count;bullish_repeatAskBid_ratio;count_AbvBlw_asym_ratio;count_blw_tot_ratio;count_abv_tot_ratio;vol_volatility_score;price_volume_dynamic;bearish_absorption_score;bullish_absorption_score;bearish_market_context_score;bullish_market_context_score;bearish_combined_pressure;bullish_combined_pressure;is_error;error_type
1;0;0.6017367;135;6.0;-0.5;0.75;0.25;0.5;1.0;1.75;1.0;0.75;1.0;0.75;1.75;0.75;0.25;0.5;1.25;1.5;1.270499999999629;5;1.1;2.6191;0.7241;0.8;0.0586176727909011;1.0;0.5;1.75;0.6666666666666666;0.0392289482583699;1.0;0.25;1.75;;;;;;;;;;;0.8333333333333334;;;;0.0;0.0;;;;;;;18.195747360710048;9.99105495611338;5.996645608542517;1;1;0.9296482412060302;0.0703517587939698;3.7033898305084745;0.4137931034482758;0.4285714285714285;0.5747747747747748;-0.3634840871021775;0.2964824120603015;0.3694404591104734;0.644891122278057;0.6363636363636364;0.9296482412060302;0.0703517587939698;0.8592964824120602;1.070659971305595;0.7873873873873873;0.2126126126126126;0.6904761904761905;0.2857142857142857;0.0486486486486486;0.1117117117117117;0.063063063063063;0.6190476190476191;-0.238095238095238;0.8571428571428572;5.0;6.75;3.210526315789474;0.0285714285714285;5.0;3.210526315789474;0.2;0.1016949152542373;0.3114754098360656;29.53635897435821;0.092063492063492;0.3114754098360656;0.7623762376237624;-0.5240384615384616;1;1;0.7873873873873873;0.1981981981981982;0.5891891891891892;0.6904761904761905;0.1428571428571428;0.5476190476190477;0.4141876430205949;0.0;0.3261261261261261;0.0;0.0;0.0;0.445045045045045;0.0;0.6972972972972973;0.0;0.2208201892744479;;4.5285714285714285;;2.3035714285714284;0.0;0.8191214470284238;;0.9147286821705426;;0.4451097804391217;1.0;;;6.612903225806452;0.7387387387387387;0.1117117117117117;13.0;0.6190476190476191;0.0476190476190476;0.7387387387387387;0.1117117117117117;0.6270270270270271;0.6414414414414414;-0.063063063063063;0.6190476190476191;0.0476190476190476;0.5714285714285714;0.5;0.0238095238095238;0.5;0.0504504504504504;0.16;0.8357771260997068;11.178571428571429;0.0;0.0;0.0;;;0.1512195121951219;13.0;5.484848484848484;;0.7225225225225225;0.5949367088607594;0.9207207207207208;0.1428571428571428;0.1388888888888889;0.7619047619047619;0.7362637362637363;0.1318681318681318;0.8681318681318682;1.754722744960404;0.0006426671605709;1.2839319975754169;0.2997358977791309;-0.0985473304912268;0.0372066451854632;-0.080968684531783;0.0071365689947412;True;False Negative
1;0;0.5804106;225;4.0;-0.25;0.25;0.25;0.5;0.0;1.0;0.75;0.5;1.0;0.5;1.0;0.75;0.5;1.5;0.75;1.25;-0.7768999999998414;-3;0.95;1.4697;0.6525;0.5;-0.1398496240601503;0.5;0.0;1.0;0.3333333333333333;-0.1332197614991482;0.5;-0.25;1.25;0.2222222222222222;-0.1168289290681502;0.5;-0.75;1.5;0.1666666666666666;-0.123269435569755;0.5;-1.5;1.5;0.6666666666666666;0.4444444444444444;0.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.303217308900434;0.9993288590604028;;1;0;1.0;0.0;0.936842105263158;;;-0.0307414104882459;0.8878842676311031;-0.0849909584086799;-0.7180616740088106;0.5280289330922242;-0.1095890410958904;1.0;0.0;1.0;1.2180616740088106;0.4828209764918625;0.515370705244123;;;0.0216998191681736;0.4050632911392405;0.3833634719710669;;;;2.8260869565217392;0.691358024691358;0.2857142857142857;0.2857142857142857;0.691358024691358;2.8260869565217392;0.3538461538461538;1.4464285714285714;3.5;3.5;1.4464285714285714;0.3538461538461538;0.0755555555555555;0.2815013404825737;1;0;0.4828209764918625;0.4936708860759494;-0.0108499095840868;;;;0.0;0.0;0.0;;;;0.1030741410488245;;0.3815551537070524;;0.5746268656716418;;1.7402597402597402;;0.6169590643274854;;0.6350710900473934;;0.9478672985781992;;0.0;;;;0.476;0.2151898734177215;0.4520795660036166;;;;0.2151898734177215;0.4520795660036166;-0.2368896925858951;0.1573236889692585;-0.1844484629294756;;;;;;0.159132007233273;0.1121157323688969;0.0127530582814763;0.1733333333333333;1.4193548387096775;;;;;;2.100840336134454;;0.0;;0.4611211573236889;0.4551282051282051;0.9547920433996384;;;;1.0;0.0;1.0;1.4032771183028725;-0.0003641342837556;0.9101036255492893;;-0.2406648422320133;;0.1678672148391094;;True;False Negative
1;0;0.59726095;465;6.0;0.0;0.25;-0.5;-0.25;0.0;0.0;0.75;0.0;0.5;0.25;0.0;0.75;-0.5;0.0;-0.25;0.0;-5.272500000000036;-5;0.95;1.0596;0.1779;;-0.1043145821955215;0.0;-0.25;0.5;-0.5;-0.0753629868633325;-0.5;-1.0;0.0;-0.2857142857142857;-0.0937845959196583;-0.5;-1.25;0.5;-0.2;-0.0866141732283464;-0.5;-1.75;0.75;0.1666666666666666;0.4285714285714285;0.3;0.4;-0.5;0.0001120636521544;-0.5;0.0001120636521544;-0.5;0.0001120636521544;0.0;0.0;43.62791386573876;4.996919112704459;5.9973107737128135;1;1;0.6992481203007519;0.3007518796992481;0.8547008547008547;1.0977443609022557;-0.0428571428571428;-0.0783410138248847;0.4339419978517723;-0.0042964554242749;-0.7121057985757884;0.3082706766917293;-0.2125435540069686;0.6992481203007519;0.3007518796992481;0.3984962406015037;2.3677517802644963;0.4608294930875576;0.5391705069124424;0.475;0.5214285714285715;0.0199692780337941;0.2027649769585253;0.1827956989247312;0.0071428571428571;-0.3464285714285714;0.3535714285714285;1.1829268292682926;1.765625;0.6149425287356322;0.05;0.7835051546391752;0.6149425287356322;0.845360824742268;0.5663716814159292;1.6261682242990654;20.0;1.2763157894736843;1.6261682242990654;0.1797752808988764;0.377431906614786;1;0;0.4608294930875576;0.488479262672811;-0.0276497695852534;0.475;0.4714285714285714;0.0035714285714285;0.0;0.2044025157232704;-0.0998463901689708;0.0;0.0;0.0;0.0;0.0;0.2457757296466974;0.0;1.0;;1.0;;0.3258655804480652;0.0;0.5;;0.8125;;0.125;-1.0;;;1.9057971014492756;0.4039938556067588;0.2119815668202765;4.24;0.3785714285714285;0.0892857142857142;0.4039938556067588;0.2119815668202765;0.1920122887864823;0.0890937019969278;-0.1551459293394777;0.3785714285714285;0.0892857142857142;0.2892857142857142;-0.0071428571428571;0.0071428571428571;0.0890937019969278;0.0737327188940092;0.0025011739000143;0.0943396226415094;1.2083333333333333;0.0;0.0;0.0;;;0.5247148288973384;4.24;0.6666666666666666;;0.4301075268817204;0.5212264150943396;0.9185867895545314;0.4714285714285714;0.462882096069869;0.9321428571428572;0.2986217457886677;0.3506891271056661;0.6493108728943339;2.4572106736817703;-0.0041408088651001;1.8554048082897527;1.6477170800405987;-0.0982491029829823;0.0045233497908006;0.2878585032830493;-0.0117694077145757;True;False Negative
1;0;0.5864615;480;13.0;-0.25;3.0;0.5;0.75;0.0;0.25;1.5;0.5;1.25;0.5;1.0;0.75;-1.25;-0.5;-1.75;-1.25;-4.555199999999786;-4;1.75;2.1787;0.182;;-0.0521436848203939;0.0;-0.75;1.0;;-0.0355308219178082;0.0;-0.5;0.75;;-0.0605960264900662;0.0;-0.75;0.75;;-0.0776510555690366;0.0;-1.0;1.25;0.7142857142857143;0.8571428571428571;0.7777777777777778;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.95118138412823;6.9941179765839445;0.9991597109405634;1;1;0.5541984732824428;0.4458015267175572;1.4527027027027026;0.5077720207253886;0.3287671232876712;0.1845730027548209;-0.2122137404580152;0.7984732824427481;-1.0414642047295108;0.2;-0.0534351145038167;0.5541984732824428;0.4458015267175572;0.1083969465648855;1.060900550696469;0.5922865013774105;0.4077134986225895;0.660958904109589;0.3356164383561644;-0.0578512396694214;0.1322314049586777;0.1900826446280991;0.3938356164383562;-0.047945205479452;0.4417808219178082;4.4;0.5476190476190477;1.6666666666666667;1.7878787878787878;0.5652173913043478;2.952380952380953;0.2272727272727272;1.826086956521739;0.6;0.559322033898305;1.7692307692307692;0.3387096774193548;0.1260504201680672;0.02;0;0;0.5922865013774105;0.371900826446281;0.2203856749311294;0.660958904109589;0.3150684931506849;0.3458904109589041;0.0;0.0;0.0;0.0;0.0;0.0;0.1101928374655647;0.0;0.4297520661157025;0.0;0.5918367346938775;;1.6896551724137931;;0.7536231884057971;0.0;0.6282051282051282;;0.903846153846154;;0.0;;;;1.68;0.4628099173553719;0.2754820936639118;3.019230769230769;0.5376712328767124;0.1780821917808219;0.4628099173553719;0.2754820936639118;0.18732782369146;0.3360881542699724;-0.1460055096418732;0.5376712328767124;0.1780821917808219;0.3595890410958904;0.3904109589041096;-0.0547945205479452;0.2231404958677686;0.1019283746556473;0.0394022873361716;0.3728813559322034;2.189189189189189;0.0;0.0;0.0;;;0.5952380952380952;3.019230769230769;0.0;;0.5482093663911846;0.5416666666666666;0.9201101928374656;0.3150684931506849;0.3472803347280335;0.9178082191780822;0.0929791271347248;0.4535104364326375;0.5464895635673624;2.8306749008716725;-0.0023565740595116;1.2348026932967864;0.7916726633560343;-0.0605767668380968;-0.0227339016409709;0.180287996541955;0.0433793240195087;True;False Negative
1;0;0.6000758;525;6.0;-0.5;1.25;0.75;2.0;-1.0;0.0;1.5;1.0;0.0;-0.75;0.5;1.0;1.75;2.5;-0.75;0.0;-5.77980000000025;-4;1.85;3.1572;0.2242;;-0.1183252427184466;0.0;-1.5;1.5;-0.125;-0.0397493636185627;-0.25;-1.25;0.75;-0.2;-0.0765857936275942;-0.5;-1.75;0.75;-0.1666666666666666;-0.0939418510367195;-0.5;-2.0;1.0;0.6666666666666666;0.6923076923076923;0.7142857142857143;0.6666666666666666;-0.25;5.6058525100204615e-05;-0.5;0.0001121139077302;-0.5;0.0001121139077302;-0.25;5.605538271812551e-05;33.04908733240199;2.996973772696705;;1;0;0.8256983240223463;0.1743016759776536;1.0700280112044818;1.9807692307692308;-0.3205128205128205;0.03382949932341;0.7810055865921788;-0.0234636871508379;-0.9321595028482652;0.306145251396648;0.3284671532846715;0.8256983240223463;0.1743016759776536;0.6513966480446928;1.1587260486794408;0.516914749661705;0.4830852503382949;0.3333333333333333;0.6602564102564102;-0.1231393775372124;0.2936400541271989;0.4167794316644113;0.0961538461538461;-0.4038461538461538;0.5;0.868421052631579;1.2153846153846153;0.6834532374100719;0.2826086956521739;1.4918032786885247;0.6834532374100719;1.1515151515151516;0.8227848101265823;1.4631578947368422;3.5384615384615383;0.6703296703296703;1.4631578947368422;0.041860465116279;0.0142180094786729;0;0;0.516914749661705;0.4492557510148849;0.06765899864682;0.3333333333333333;0.6089743589743589;-0.2756410256410256;0.0392670157068062;0.0451807228915662;0.0;0.0;0.0;0.0;0.1515561569688768;0.0;0.4113667117726657;0.0;0.4615384615384615;;2.1666666666666665;;0.6988505747126437;0.0;0.6842105263157895;;0.9210526315789472;;0.0493421052631578;1.0;;;0.7546468401486989;0.2746955345060893;0.3640054127198917;1.1;0.2115384615384615;0.1923076923076923;0.2746955345060893;0.3640054127198917;-0.0893098782138024;0.1637347767253044;-0.121786197564276;0.2115384615384615;0.1923076923076923;0.0192307692307692;-0.2051282051282051;-0.0705128205128205;0.0933694181326116;0.128552097428958;0.0078077935109618;-0.1585365853658536;0.7263157894736842;0.0;0.0;0.0;;;1.3251231527093597;1.1;0.625;;0.4736129905277402;0.491362763915547;0.9215155615696888;0.6089743589743589;0.5725806451612904;0.9230769230769232;0.6155038759689923;0.1922480620155038;0.8077519379844961;3.989754785756564;-0.0039242224665645;1.4423457782775946;1.6807526677251294;-0.0801495013977844;-0.0464056479246858;0.1756578079093146;0.1185146111857463;True;False Negative
1;0;0.5854185;90;11.0;0.0;1.0;-0.25;0.0;-0.75;-0.25;0.75;0.0;0.5;0.0;0.5;0.75;-1.5;-1.0;-1.75;-1.25;0.4760999999998603;3;1.55;2.0479;-0.1326;;0.1229216152019002;0.0;-0.75;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.53845090499177;0.9992710144114842;0.9992710144114842;1;1;0.63659961064244;0.36340038935756;1.7478991596638656;0.4455958549222797;0.3857142857142857;0.2721712538226299;0.0207657365347177;0.4841012329656067;-0.3908355795148248;0.2621674237508111;0.0693069306930693;0.63659961064244;0.36340038935756;0.2731992212848799;2.307577118897874;0.636085626911315;0.363914373088685;0.6892857142857143;0.3071428571428571;-0.1233435270132517;0.1559633027522936;0.2793068297655454;0.5357142857142857;-0.0803571428571428;0.6160714285714286;1.5555555555555556;2.833333333333333;1.9361702127659572;2.0365853658536586;0.8620689655172413;0.8829787234042553;0.6428571428571429;0.3529411764705882;0.5164835164835165;0.4910179640718562;1.16;1.1325301204819278;0.391304347826087;-0.1776155717761557;1;0;0.6350662589194699;0.3363914373088685;0.2986748216106014;0.6892857142857143;0.2696428571428571;0.4196428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.1620795107033639;0.0;0.3292558613659531;0.0;0.3402489626556016;;2.9390243902439024;;0.4908814589665654;0.0;0.7461300309597523;;0.9318885448916407;;0.0;;;;2.445161290322581;0.3863404689092762;0.1580020387359837;35.09090909090909;0.6892857142857143;0.0196428571428571;0.3863404689092762;0.1580020387359837;0.2283384301732925;0.1834862385321101;0.09072375127421;0.6892857142857143;0.0196428571428571;0.6696428571428571;0.4375;-0.0196428571428571;0.0316004077471967;0.0835881753312946;0.0059883972854261;-0.4513274336283185;0.3780487804878049;0.0;0.0;0.0;;;0.4089709762532981;35.09090909090909;0.0;;0.5932721712538226;0.5670650730411687;0.9296636085626911;0.2696428571428571;0.3197115384615384;0.9125;0.2882805816937553;0.3558597091531223;0.6441402908468776;6.4849458220741365;0.0006258399407515;3.1772983043889567;1.7913621863529632;-0.0674046123696608;0.014593964126826;0.2882564210913528;-0.0351874715176474;True;False Negative
1;0;0.59949166;285;7.0;0.0;0.75;0.0;0.5;0.25;2.5;1.0;0.5;1.0;0.75;2.25;1.0;-0.25;0.25;1.75;2.75;2.058100000000195;4;1.5;3.6279;0.6606;0.1111111111111111;0.1279926335174954;0.25;-0.75;1.5;0.6;-0.0382775119617224;1.5;0.25;2.75;0.3529411764705882;-0.0246775098149186;1.5;-0.5;3.75;0.5714285714285714;-0.0356171480378189;2.0;0.25;3.75;0.3571428571428571;0.4444444444444444;0.2777777777777778;0.7142857142857143;1.25;0.0002769239289967;1.25;0.0002769239289967;1.75;0.0003877149741061;0.5;0.0001107910480833;18.73870796932393;0.9988927029121912;0.9992802568929244;1;1;0.6170798898071626;0.3829201101928374;3.1481481481481484;0.6428571428571429;0.2230215827338129;0.5178571428571429;-0.6473829201101928;0.6143250688705234;-0.0298350298350298;0.2369146005509642;0.4883720930232558;0.6170798898071626;0.3829201101928374;0.234159779614325;0.6370656370656371;0.7589285714285714;0.2410714285714285;0.60431654676259;0.3884892086330935;0.0669642857142857;0.1205357142857142;0.0535714285714285;0.3453237410071942;0.2158273381294964;0.1294964028776978;29.0;0.9285714285714286;2.56;5.208031609195456;2.4;0.3636363636363636;0.0263157894736842;1.0769230769230769;0.390625;0.0806451612903225;0.4166666666666667;2.75;0.3763440860215054;-0.6610169491525424;0;0;0.7589285714285714;0.21875;0.5401785714285714;0.60431654676259;0.3669064748201439;0.237410071942446;0.1176470588235294;0.0;0.0892857142857142;0.0;0.3137254901960784;-0.1151079136690647;0.3616071428571428;0.0;0.5133928571428571;0.0;0.173469387755102;;5.764705882352941;;1.055045871559633;0.0;0.8521739130434782;;0.9652173913043478;;0.1739130434782608;1.0;;;5.7407407407407405;0.6919642857142857;0.1205357142857142;;0.460431654676259;0.0;0.6919642857142857;0.1205357142857142;0.5714285714285714;0.5803571428571429;-0.0535714285714285;0.460431654676259;0.0;0.460431654676259;0.0935251798561151;0.1438848920863309;0.4375;0.0223214285714285;0.16;0.9029126213592232;17.0;0.0;0.0;0.0;;;0.1741935483870967;;5.0;;0.7366071428571429;0.6962025316455697;0.9553571428571428;0.3669064748201439;0.2857142857142857;0.9424460431654677;0.2015209125475285;0.3992395437262357;0.6007604562737643;1.5422118134550358;0.0006150328358699;0.9471499879593244;0.3887005145391512;-0.0481454174821056;0.1293114330454635;-0.0507401779263923;0.055928131588367;True;False Negative
1;0;0.5874257;120;4.0;-0.75;-0.5;-1.25;0.0;0.0;-1.0;0.25;-0.75;0.25;0.0;-0.5;0.5;-0.5;0.25;0.0;0.25;-0.9477999999999156;-5;0.9;2.373;-0.3687;-0.6666666666666666;-0.0758405003909304;-0.5;-0.75;0.0;-0.75;-0.064069264069264;-0.75;-1.25;-0.25;-0.4;-0.1100049776007964;-0.5;-1.0;0.25;-0.3333333333333333;-0.1220090963021554;-0.5;-1.25;0.25;0.4;0.6;0.5;0.6666666666666666;-0.25;5.5125272181031394e-05;0.0;0.0;0.0;0.0;0.25;5.5125272181031394e-05;20.37730399957096;15.99030142723315;1.9991181657848325;1;1;1.0;0.0;0.8764044943820225;;;-0.0595238095238095;-1.7023809523809523;0.1666666666666666;-0.4410927717700626;0.3214285714285714;-0.2222222222222222;1.0;0.0;1.0;0.4780876494023904;0.4642857142857143;0.5297619047619048;;;0.0654761904761904;0.2083333333333333;0.1428571428571428;;;;1.2142857142857142;1.2777777777777777;0.875;0.875;1.2777777777777777;1.2142857142857142;0.8235294117647058;0.782608695652174;1.1428571428571428;1.1428571428571428;0.782608695652174;0.8235294117647058;0.1111111111111111;-0.0232558139534883;0;0;0.4642857142857143;0.4821428571428571;-0.0178571428571428;;;;0.0;0.0;0.0;;;;-0.0833333333333333;;0.5952380952380952;;1.3255813953488371;;0.7543859649122807;;1.4705882352941178;;0.43;;0.93;;0.0;;;;0.6610169491525424;0.2321428571428571;0.3511904761904761;;;;0.2321428571428571;0.3511904761904761;-0.119047619047619;0.0535714285714285;-0.119047619047619;;;;;;0.2321428571428571;0.1607142857142857;0.0280612244897959;0.1818181818181818;1.4444444444444444;;;;;;1.5128205128205128;;0.0;;0.4404761904761904;0.4558823529411764;0.9226190476190476;;;;1.0;0.0;1.0;0.3862306543453404;-0.0001311531423976;0.2712252503912912;;0.0261138670803006;;0.0322887202846775;;True;False Negative
1;0;0.57475847;180;13.0;0.0;2.75;2.0;2.25;1.75;1.25;2.25;2.0;2.75;1.75;1.75;0.75;0.25;0.5;-0.5;0.25;-0.0268999999998413;-2;1.5;2.2109;0.9797;2.0;-0.086062941554271;2.0;1.5;2.5;1.6;-0.1096718480138169;2.0;1.5;2.75;1.0;-0.1107561235356762;2.0;1.0;3.0;0.6666666666666666;-0.0984792558688911;2.0;0.0;3.0;0.8;0.5;0.3333333333333333;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.92794164729933;2.997519157616186;;1;0;0.4551422319474836;0.5448577680525164;1.6329113924050631;0.087719298245614;0.8393574297188755;0.2403846153846154;-1.87308533916849;0.8052516411378556;-0.5782312925170069;0.1706783369803063;0.1282051282051282;0.4551422319474836;0.5448577680525164;-0.0897155361050328;0.5757117661879567;0.6201923076923077;0.3798076923076923;0.9156626506024096;0.0803212851405622;0.0240384615384615;0.25;0.2259615384615384;0.7593417085747423;0.0763052208835341;0.8192771084337349;29.0;1.8461538461538465;2.6666666666666665;2.6842105263157894;0.75;0.5588235294117647;0.0169491525423728;0.5416666666666666;0.375;0.3725490196078431;1.3333333333333333;1.7894736842105263;0.711340206185567;-0.2571428571428571;0;1;0.6201923076923077;0.3605769230769231;0.2596153846153846;0.9156626506024096;0.0763052208835341;0.8393574297188755;0.0;0.0;0.0;0.0;0.0;0.0;0.1971153846153846;0.0;0.4375;0.0;0.3787878787878788;;2.64;;0.7777777777777778;0.0;0.7252747252747253;;0.956043956043956;;0.0;;;;2.3461538461538463;0.5865384615384616;0.25;138.0;0.8949393919409098;0.0040160642570281;0.5865384615384616;0.25;0.3365384615384615;0.4567307692307692;-0.2163461538461538;0.8955823293172691;0.0040160642570281;0.891566265060241;0.7985611510791367;0.0160642570281124;0.3028846153846153;0.0913461538461538;0.0833949704142011;0.5365853658536586;3.3157894736842106;0.0;0.0;0.0;;;0.4262295081967213;138.0;0.0;;0.5913461538461539;0.55;0.9519230769230768;0.0763052208835341;0.0765306122448979;0.9518072289156626;-0.1011235955056179;0.550561797752809;0.449438202247191;1.8158218058162392;-1.004230026888646e-05;0.8786634932364946;0.122263009262963;-0.3386118714560377;0.0251428002723269;0.1900954672867416;-0.0019640644058307;True;False Negative
1;0;0.5752296;360;4.0;-0.25;0.5;0.5;1.5;1.0;2.25;0.75;0.5;1.75;1.5;2.75;0.75;0.75;1.75;1.75;2.75;3.095699999999852;5;0.95;3.7266;0.7773;0.4;0.038728897715988;0.5;0.0;1.25;0.8181818181818182;0.0557225433526011;2.25;0.75;3.5;0.8181818181818182;0.0464077002406325;2.25;1.0;3.75;0.6428571428571429;0.0514935988620199;2.25;0.5;4.0;0.1428571428571428;0.0666666666666666;0.1875;0.7857142857142857;1.75;0.0003858556348703;1.75;0.0003858556348703;1.75;0.0003858556348703;0.0;0.0;57.66954607710208;;;0;0;1.0;0.0;0.6638115631691649;;;-0.2005141388174807;0.9318766066838048;-0.255784061696658;0.5443886097152428;0.4601542416452442;-0.2346368715083799;1.0;0.0;1.0;1.6289782244556112;0.3984575835475578;0.6002570694087404;;;-0.0077120822622107;0.2750642673521851;0.2827763496143959;;;;0.9319727891156464;0.4027149321266968;0.2121212121212121;0.2121212121212121;0.4027149321266968;0.9319727891156464;1.072992700729927;2.4831460674157304;4.714285714285714;4.714285714285714;2.4831460674157304;1.072992700729927;-0.239057239057239;0.4883720930232558;1;0;0.3984575835475578;0.5681233933161953;-0.1696658097686375;;;;0.0;0.0452488687782805;-0.0257069408740359;;;;0.0141388174807197;;0.2686375321336761;;0.9;;1.1111111111111112;;0.367311072056239;;0.5263157894736842;;0.9234449760765552;;0.0;;;;0.3435897435897436;0.1722365038560411;0.5012853470437018;;;;0.1722365038560411;0.5012853470437018;-0.3290488431876606;0.0809768637532133;-0.2750642673521851;;;;;;0.0681233933161953;0.1272493573264781;0.0115516022230886;-0.3026315789473684;0.5353535353535352;;;;;;2.91044776119403;;0.0;;0.3753213367609254;0.4081632653061224;0.9434447300771208;;;;1.0;0.0;1.0;1.886487802001592;0.0018530000507872;1.087165168419252;;-0.5694878437039342;;-0.2990402905420565;;True;False Negative
