Interaction;Value;Percentage_Contribution
bearish_imbalance_evolution <-> bearish_asc_dynamics;126.4762;0.2643
bear_imbalance_high_1 <-> bull_imbalance_high_0;121.5327;0.2540
diffPriceClose_VA11PPoc <-> diffPriceClose_VA11PvaL;98.1164;0.2051
ratio_delta_vol_VA11P <-> finished_auction_high;97.7525;0.2043
bearish_dsc_ask_bid_delta_imbalance <-> perct_VA6P;78.1848;0.1634
bearish_absorption_intensity_repeat_count <-> bullish_combined_pressure;75.3020;0.1574
bearish_bid_score <-> bearish_asc_dsc_ratio;74.2932;0.1553
bear_imbalance_high_1 <-> bear_imbalance_low_2;72.7375;0.1520
bearish_absorption_ratio <-> bearish_asc_dynamics;71.1860;0.1488
bearish_combined_pressure <-> diffHighPrice_0_4;69.6812;0.1456
bearish_ask_bid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;68.3737;0.1429
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;66.9571;0.1399
VolPocVolCandleRatio <-> bullish_reversal_force;66.5897;0.1392
bearish_dsc_ask_bid_delta_imbalance <-> bullish_imnbScore_score;66.0283;0.1380
overlap_ratio_VA_6P_16P <-> bearish_dsc_ask_bid_delta_imbalance;65.7216;0.1374
diffPriceClose_VA11PvaH <-> finished_auction_high;64.8862;0.1356
imbalance_score_high <-> bearish_bid_abs_ratio_abv;64.7529;0.1353
bearish_market_context_score <-> price_volume_dynamic;61.4059;0.1283
diffHighPrice_0_4 <-> diffPriceClose_VA11PvaL;61.3055;0.1281
bandWidthBB <-> finished_auction_high;61.1605;0.1278
ratio_delta_vol_VA11P <-> perct_VA21P;61.1164;0.1277
ratio_delta_vol_VA16P <-> ratio_delta_vol_VA21P;59.4780;0.1243
bull_imbalance_high_0 <-> bearish_imnbScore_score;59.3289;0.1240
poc_diff_6P_21P <-> diffPriceClose_VA21PvaL;58.9055;0.1231
diffHighPrice_0_4 <-> perctBB;58.1018;0.1214
perct_VA16P <-> perct_VA21P;58.0404;0.1213
bull_imbalance_high_0 <-> perct_VA11P;57.9405;0.1211
bearish_asc_ask_bid_delta_imbalance <-> bullish_bid_abs_ratio_blw;57.4218;0.1200
count_AbvBlw_asym_ratio <-> VolCandleMeanxRatio;57.3088;0.1198
bullish_imnbScore_score <-> bear_imbalance_low_1;56.0236;0.1171
market_regimeADX <-> finished_auction_high;55.4563;0.1159
bearish_absorption_ratio <-> ratio_delta_vol_VA21P;55.1444;0.1153
bearish_repeatAskBid_ratio <-> perctBB;55.0625;0.1151
bullish_imnbScore_score <-> price_volume_dynamic;54.7346;0.1144
bullish_imnbScore_score <-> bullish_imbalance_evolution;54.1747;0.1132
diffVolCandle_0_1Ratio <-> diffPriceCloseVWAP;54.1263;0.1131
bullish_ask_ratio <-> bear_imbalance_high_3;53.4821;0.1118
naked_poc_dist_above <-> bearish_bid_abs_ratio_abv;53.4596;0.1117
bull_imbalance_high_0 <-> bearish_repeatAskBid_ratio;53.2858;0.1114
